Category: All categories

Day,BIRDMAN oscar: (United States),AMERICAN SNIPER oscar: (United States),BOYHOOD oscar: (United States),THE IMITATION GAME oscar: (United States),SELMA oscar: (United States)
2014-11-21,0,0,0,0,0
2014-11-22,0,0,0,0,0
2014-11-23,0,0,0,0,0
2014-11-24,0,0,0,0,0
2014-11-25,0,0,0,0,0
2014-11-26,0,0,0,0,0
2014-11-27,0,0,0,0,0
2014-11-28,0,0,0,0,0
2014-11-29,0,0,0,0,0
2014-11-30,0,0,0,0,0
2014-12-01,0,0,0,0,0
2014-12-02,0,0,0,0,0
2014-12-03,0,0,0,0,0
2014-12-04,0,0,0,0,0
2014-12-05,0,0,0,0,0
2014-12-06,0,0,0,0,0
2014-12-07,0,0,0,0,0
2014-12-08,0,0,0,0,0
2014-12-09,0,0,0,0,0
2014-12-10,0,0,0,0,0
2014-12-11,0,0,0,0,0
2014-12-12,0,0,0,0,0
2014-12-13,0,0,0,0,0
2014-12-14,0,0,0,0,0
2014-12-15,0,0,0,0,0
2014-12-16,0,0,0,0,0
2014-12-17,0,0,0,0,0
2014-12-18,0,0,0,0,11
2014-12-19,0,0,0,0,0
2014-12-20,0,0,0,0,0
2014-12-21,0,0,0,0,0
2014-12-22,0,0,0,0,0
2014-12-23,0,0,0,0,0
2014-12-24,0,0,0,0,0
2014-12-25,0,0,0,0,0
2014-12-26,0,0,0,0,0
2014-12-27,0,0,0,0,0
2014-12-28,12,0,14,0,0
2014-12-29,0,0,0,0,0
2014-12-30,0,0,0,0,0
2014-12-31,0,0,0,0,0
2015-01-01,0,11,0,0,0
2015-01-02,0,0,0,0,0
2015-01-03,0,0,0,0,0
2015-01-04,0,0,0,0,0
2015-01-05,0,0,8,0,0
2015-01-06,0,0,0,0,0
2015-01-07,0,0,0,0,0
2015-01-08,0,0,0,0,0
2015-01-09,0,0,0,0,0
2015-01-10,0,0,0,0,0
2015-01-11,0,0,0,0,0
2015-01-12,12,10,17,0,0
2015-01-13,0,0,9,0,0
2015-01-14,0,0,0,0,0
2015-01-15,100,55,52,31,61
2015-01-16,69,43,44,20,53
2015-01-17,50,44,29,19,36
2015-01-18,31,50,36,11,29
2015-01-19,24,53,16,10,45
2015-01-20,12,33,12,15,28
2015-01-21,11,16,0,0,16
2015-01-22,0,11,12,0,0
2015-01-23,9,9,0,0,10
2015-01-24,16,23,18,0,23
2015-01-25,26,19,20,0,10
2015-01-26,11,13,0,0,8
2015-01-27,14,0,0,0,0
2015-01-28,9,0,0,0,0
2015-01-29,0,0,0,0,0
2015-01-30,0,0,0,0,0
2015-01-31,11,13,0,0,11
2015-02-01,19,12,0,11,12
2015-02-02,0,0,0,0,0
2015-02-03,0,0,0,0,0
2015-02-04,8,0,0,0,0
2015-02-05,0,0,0,0,0
2015-02-06,0,0,0,0,0
2015-02-07,16,0,0,0,0
2015-02-08,16,10,0,0,0
2015-02-09,0,0,0,0,0
2015-02-10,0,0,9,0,0
2015-02-11,0,0,0,0,0
2015-02-12,0,0,0,0,0
2015-02-13,0,8,0,0,0
2015-02-14,13,0,10,0,0
2015-02-15,16,0,0,0,0
2015-02-16,10,0,0,0,0
2015-02-17,8,9,0,8,0
2015-02-18,14,9,9,0,0
2015-02-19,21,0,11,0,0
2015-02-20,21,14,16,10,13
2015-02-21,41,20,23,15,12
