Category: All categories

Day,BIRDMAN oscar: (United States),THE THEORY OF EVERYTHING oscar: (United States),WHIPLASH oscar: (United States),THE GRAND BUDAPEST HOTEL oscar: (United States)
2014-11-21,0,0,0,0
2014-11-22,0,0,0,0
2014-11-23,0,0,0,0
2014-11-24,0,0,0,0
2014-11-25,0,0,0,0
2014-11-26,0,0,0,0
2014-11-27,0,0,0,0
2014-11-28,0,0,0,0
2014-11-29,0,0,0,0
2014-11-30,0,0,0,0
2014-12-01,0,0,0,0
2014-12-02,0,0,0,0
2014-12-03,0,0,0,0
2014-12-04,0,0,0,0
2014-12-05,0,0,0,0
2014-12-06,0,0,0,0
2014-12-07,0,0,0,0
2014-12-08,0,0,0,0
2014-12-09,0,0,0,0
2014-12-10,0,0,0,0
2014-12-11,0,0,0,0
2014-12-12,0,0,0,0
2014-12-13,0,0,0,0
2014-12-14,0,0,0,0
2014-12-15,0,0,0,0
2014-12-16,0,0,0,0
2014-12-17,0,0,0,0
2014-12-18,0,0,0,0
2014-12-19,0,0,0,0
2014-12-20,0,0,0,0
2014-12-21,0,0,0,0
2014-12-22,0,0,0,0
2014-12-23,0,0,0,0
2014-12-24,0,0,0,0
2014-12-25,0,0,0,0
2014-12-26,0,0,0,0
2014-12-27,0,0,0,0
2014-12-28,0,0,0,0
2014-12-29,0,0,0,0
2014-12-30,0,0,0,0
2014-12-31,0,0,0,0
2015-01-01,0,0,0,0
2015-01-02,0,0,0,0
2015-01-03,0,0,0,0
2015-01-04,0,0,0,0
2015-01-05,0,0,0,0
2015-01-06,0,0,0,0
2015-01-07,0,0,0,0
2015-01-08,0,0,0,0
2015-01-09,0,0,0,0
2015-01-10,0,0,0,0
2015-01-11,0,0,0,0
2015-01-12,13,0,0,0
2015-01-13,0,0,0,0
2015-01-14,0,0,0,0
2015-01-15,100,24,94,29
2015-01-16,68,0,55,16
2015-01-17,55,13,33,15
2015-01-18,32,11,39,12
2015-01-19,24,9,29,0
2015-01-20,12,0,10,0
2015-01-21,0,0,11,0
2015-01-22,0,0,11,0
2015-01-23,0,0,0,0
2015-01-24,17,0,0,0
2015-01-25,25,0,16,0
2015-01-26,13,0,11,0
2015-01-27,0,0,8,0
2015-01-28,11,0,8,0
2015-01-29,0,0,0,0
2015-01-30,0,0,0,0
2015-01-31,13,0,13,0
2015-02-01,16,0,16,0
2015-02-02,0,0,0,0
2015-02-03,0,0,8,0
2015-02-04,0,0,0,0
2015-02-05,0,0,0,0
2015-02-06,0,0,8,0
2015-02-07,14,0,0,0
2015-02-08,28,0,16,0
2015-02-09,0,0,0,0
2015-02-10,0,0,0,0
2015-02-11,0,0,0,0
2015-02-12,9,0,0,0
2015-02-13,10,0,12,0
2015-02-14,13,0,15,0
2015-02-15,14,0,11,0
2015-02-16,12,0,11,0
2015-02-17,10,0,9,0
2015-02-18,16,8,11,0
2015-02-19,21,10,14,0
2015-02-20,21,10,22,0
2015-02-21,41,0,27,0
