Category: All categories

Day,BIRDMAN oscar: (Worldwide),AMERICAN SNIPER oscar: (Worldwide),BOYHOOD oscar: (Worldwide),THE IMITATION GAME oscar: (Worldwide),SELMA oscar: (Worldwide)
2014-11-21,0,0,0,0,0
2014-11-22,0,0,0,0,0
2014-11-23,0,0,0,0,0
2014-11-24,0,0,0,0,0
2014-11-25,0,0,0,0,0
2014-11-26,0,0,0,0,0
2014-11-27,0,0,0,0,0
2014-11-28,0,0,0,0,0
2014-11-29,0,0,0,0,0
2014-11-30,0,0,0,0,0
2014-12-01,0,0,0,0,0
2014-12-02,0,0,0,0,0
2014-12-03,0,0,0,0,0
2014-12-04,0,0,0,0,0
2014-12-05,0,0,0,0,0
2014-12-06,0,0,0,0,0
2014-12-07,0,0,0,0,0
2014-12-08,0,0,0,0,0
2014-12-09,0,0,0,0,0
2014-12-10,0,0,0,0,0
2014-12-11,0,0,0,0,0
2014-12-12,0,0,0,0,0
2014-12-13,0,0,0,0,0
2014-12-14,0,0,0,0,0
2014-12-15,0,0,0,0,0
2014-12-16,0,0,0,0,0
2014-12-17,0,0,3,0,0
2014-12-18,3,0,3,0,0
2014-12-19,0,0,0,0,0
2014-12-20,0,0,0,0,0
2014-12-21,0,0,0,0,0
2014-12-22,0,0,0,0,0
2014-12-23,0,0,0,0,0
2014-12-24,0,0,0,0,0
2014-12-25,0,0,0,0,0
2014-12-26,0,0,0,0,0
2014-12-27,0,0,3,0,0
2014-12-28,4,0,4,0,4
2014-12-29,0,0,0,0,0
2014-12-30,0,0,4,0,0
2014-12-31,0,0,0,0,0
2015-01-01,4,0,0,0,0
2015-01-02,0,0,0,0,0
2015-01-03,7,4,0,0,0
2015-01-04,4,0,6,0,0
2015-01-05,3,0,3,0,0
2015-01-06,4,0,4,0,0
2015-01-07,3,3,0,0,0
2015-01-08,3,0,0,0,0
2015-01-09,3,0,3,0,0
2015-01-10,5,0,5,4,4
2015-01-11,6,0,6,4,0
2015-01-12,12,5,18,3,6
2015-01-13,5,3,6,0,0
2015-01-14,6,3,5,4,0
2015-01-15,100,48,46,35,49
2015-01-16,89,50,44,30,42
2015-01-17,70,43,35,27,32
2015-01-18,50,46,35,28,28
2015-01-19,29,32,19,14,25
2015-01-20,21,23,13,12,18
2015-01-21,16,16,8,9,10
2015-01-22,14,11,10,9,8
2015-01-23,16,13,11,10,8
2015-01-24,21,20,11,13,7
2015-01-25,29,22,19,12,11
2015-01-26,21,13,9,7,7
2015-01-27,14,7,8,6,7
2015-01-28,11,8,6,5,6
2015-01-29,11,7,6,5,4
2015-01-30,11,4,6,8,4
2015-01-31,19,8,8,7,9
2015-02-01,20,10,9,8,12
2015-02-02,15,5,8,4,7
2015-02-03,12,4,4,6,6
2015-02-04,12,5,5,6,5
2015-02-05,11,5,0,4,4
2015-02-06,15,5,7,5,7
2015-02-07,21,9,9,11,6
2015-02-08,22,9,15,11,6
2015-02-09,16,6,8,8,8
2015-02-10,11,5,4,3,4
2015-02-11,10,5,4,4,5
2015-02-12,12,3,6,6,5
2015-02-13,8,4,5,5,5
2015-02-14,19,10,10,9,10
2015-02-15,18,6,10,9,7
2015-02-16,17,7,11,6,9
2015-02-17,15,9,9,6,9
2015-02-18,20,11,11,8,9
2015-02-19,23,8,17,9,10
2015-02-20,34,15,23,14,16
2015-02-21,57,26,36,22,21
