Category: All categories

Day,BIRDMAN oscar: (Worldwide),THE THEORY OF EVERYTHING oscar: (Worldwide),WHIPLASH oscar: (Worldwide),THE GRAND BUDAPEST HOTEL oscar: (Worldwide)
2014-11-21,0,0,0,0
2014-11-22,0,0,0,0
2014-11-23,0,0,0,0
2014-11-24,0,0,0,0
2014-11-25,0,0,0,0
2014-11-26,0,0,0,0
2014-11-27,0,0,0,0
2014-11-28,0,0,0,0
2014-11-29,0,0,0,0
2014-11-30,0,0,0,0
2014-12-01,0,0,3,0
2014-12-02,0,0,0,0
2014-12-03,0,0,0,0
2014-12-04,0,0,0,0
2014-12-05,0,0,0,0
2014-12-06,0,0,0,0
2014-12-07,0,0,0,0
2014-12-08,0,0,0,0
2014-12-09,0,0,0,0
2014-12-10,0,0,0,0
2014-12-11,0,0,0,0
2014-12-12,0,0,0,0
2014-12-13,0,0,0,0
2014-12-14,0,0,0,0
2014-12-15,0,0,0,0
2014-12-16,0,0,0,0
2014-12-17,0,0,0,0
2014-12-18,3,0,0,0
2014-12-19,0,0,0,0
2014-12-20,0,0,0,0
2014-12-21,0,0,0,0
2014-12-22,0,0,0,0
2014-12-23,0,0,0,0
2014-12-24,0,0,0,0
2014-12-25,0,0,0,0
2014-12-26,0,0,0,0
2014-12-27,0,0,0,0
2014-12-28,4,0,0,0
2014-12-29,0,0,0,0
2014-12-30,0,0,0,0
2014-12-31,0,0,0,0
2015-01-01,4,0,0,0
2015-01-02,0,0,0,0
2015-01-03,7,0,0,0
2015-01-04,4,0,0,0
2015-01-05,3,0,0,0
2015-01-06,4,0,0,0
2015-01-07,3,0,0,0
2015-01-08,3,0,3,0
2015-01-09,3,0,0,0
2015-01-10,5,0,0,0
2015-01-11,6,0,4,0
2015-01-12,12,5,4,0
2015-01-13,5,0,3,0
2015-01-14,6,0,0,0
2015-01-15,100,21,61,22
2015-01-16,89,20,46,16
2015-01-17,70,20,39,16
2015-01-18,50,16,35,11
2015-01-19,29,11,22,7
2015-01-20,21,7,15,3
2015-01-21,16,6,15,4
2015-01-22,14,9,11,3
2015-01-23,16,3,11,0
2015-01-24,21,10,14,3
2015-01-25,29,8,19,0
2015-01-26,21,3,15,3
2015-01-27,14,4,9,0
2015-01-28,11,3,9,0
2015-01-29,11,6,12,0
2015-01-30,11,4,8,0
2015-01-31,19,0,12,3
2015-02-01,20,7,16,3
2015-02-02,15,3,10,0
2015-02-03,12,0,9,3
2015-02-04,12,3,7,0
2015-02-05,11,4,8,0
2015-02-06,15,5,12,0
2015-02-07,21,9,14,3
2015-02-08,22,8,19,0
2015-02-09,16,6,7,0
2015-02-10,11,3,7,0
2015-02-11,10,0,4,0
2015-02-12,12,3,7,0
2015-02-13,8,3,12,3
2015-02-14,19,8,14,0
2015-02-15,18,7,16,4
2015-02-16,17,5,17,0
2015-02-17,15,8,12,4
2015-02-18,20,6,15,0
2015-02-19,23,7,18,3
2015-02-20,34,11,25,6
2015-02-21,57,16,33,7
