Category: All categories

Day,ROOM oscar: (United States),THE BIG SHORT oscar: (United States),BRIDGE OF SPIES oscar: (United States),SPOTLIGHT oscar: (United States),BROOKLYN oscar: (United States)
2015-11-27,0,0,0,0,0
2015-11-28,0,0,0,0,0
2015-11-29,0,0,0,0,0
2015-11-30,0,0,0,0,0
2015-12-01,0,0,0,0,13
2015-12-02,0,0,0,0,0
2015-12-03,0,0,0,0,0
2015-12-04,0,0,0,0,0
2015-12-05,0,0,0,0,0
2015-12-06,0,0,0,0,0
2015-12-07,0,0,0,0,0
2015-12-08,0,0,0,0,0
2015-12-09,0,0,0,0,0
2015-12-10,0,0,0,0,0
2015-12-11,0,0,0,0,0
2015-12-12,0,0,0,0,0
2015-12-13,0,0,0,0,0
2015-12-14,0,0,0,0,0
2015-12-15,0,0,0,0,0
2015-12-16,0,0,0,0,0
2015-12-17,0,0,0,0,0
2015-12-18,0,0,0,0,0
2015-12-19,0,0,0,0,0
2015-12-20,0,0,0,0,0
2015-12-21,0,0,0,0,0
2015-12-22,0,0,0,0,0
2015-12-23,0,0,0,16,0
2015-12-24,0,0,0,0,0
2015-12-25,0,0,0,0,0
2015-12-26,0,0,0,0,0
2015-12-27,0,0,0,0,0
2015-12-28,0,0,0,0,0
2015-12-29,0,0,0,0,0
2015-12-30,0,0,0,0,0
2015-12-31,0,0,0,0,0
2016-01-01,0,0,0,0,0
2016-01-02,0,0,0,0,0
2016-01-03,0,0,0,17,0
2016-01-04,0,0,0,0,0
2016-01-05,0,0,0,0,0
2016-01-06,0,0,0,0,0
2016-01-07,0,0,0,0,0
2016-01-08,0,0,0,0,0
2016-01-09,0,0,0,0,0
2016-01-10,11,0,0,0,10
2016-01-11,39,0,0,0,0
2016-01-12,0,0,0,0,0
2016-01-13,10,0,0,0,0
2016-01-14,100,36,39,55,68
2016-01-15,65,30,23,43,40
2016-01-16,61,32,24,57,40
2016-01-17,56,27,29,44,35
2016-01-18,37,21,14,19,22
2016-01-19,21,16,0,20,16
2016-01-20,20,13,0,17,17
2016-01-21,14,0,0,0,9
2016-01-22,16,0,0,11,13
2016-01-23,24,15,12,18,23
2016-01-24,25,0,0,16,27
2016-01-25,17,11,0,10,0
2016-01-26,14,0,0,12,0
2016-01-27,18,0,0,0,0
2016-01-28,0,0,0,0,10
2016-01-29,0,0,0,0,0
2016-01-30,17,19,0,17,0
2016-01-31,31,0,17,20,17
2016-02-01,0,0,0,0,0
2016-02-02,0,0,0,0,0
2016-02-03,12,0,0,0,0
2016-02-04,0,11,0,0,0
2016-02-05,0,0,0,9,0
2016-02-06,0,0,16,13,16
2016-02-07,18,0,16,14,0
2016-02-08,9,0,0,0,0
2016-02-09,0,0,0,0,0
2016-02-10,0,0,0,0,0
2016-02-11,12,0,0,0,0
2016-02-12,0,0,0,0,0
2016-02-13,0,0,0,0,12
2016-02-14,0,0,11,18,0
2016-02-15,16,0,0,0,0
2016-02-16,0,14,0,0,0
2016-02-17,10,0,0,0,0
2016-02-18,0,0,0,0,0
2016-02-19,0,0,0,0,0
2016-02-20,0,0,0,0,0
2016-02-21,13,10,0,0,13
2016-02-22,0,0,0,0,10
2016-02-23,9,0,0,9,0
2016-02-24,23,0,0,0,0
2016-02-25,18,0,0,0,9
2016-02-26,31,10,10,17,17
2016-02-27,37,21,18,38,25
