Category: All categories

Day,THE REVENANT oscar: (Worldwide),THE BIG SHORT oscar: (Worldwide),BRIDGE OF SPIES oscar: (Worldwide),BROOKLYN oscar: (Worldwide),SPOTLIGHT oscar: (Worldwide)
2015-11-27,0,0,0,0,0
2015-11-28,0,0,0,0,0
2015-11-29,0,0,0,0,0
2015-11-30,0,0,0,0,0
2015-12-01,3,0,0,0,0
2015-12-02,0,0,0,0,0
2015-12-03,0,0,0,5,0
2015-12-04,0,0,0,0,0
2015-12-05,5,0,0,0,0
2015-12-06,4,0,0,0,0
2015-12-07,0,0,0,0,0
2015-12-08,0,0,0,0,0
2015-12-09,0,0,0,0,0
2015-12-10,3,0,0,0,0
2015-12-11,0,0,0,0,0
2015-12-12,0,0,0,0,0
2015-12-13,3,0,0,0,0
2015-12-14,0,0,0,0,0
2015-12-15,4,0,0,0,0
2015-12-16,4,0,0,0,0
2015-12-17,6,0,0,0,0
2015-12-18,4,0,0,0,0
2015-12-19,0,0,0,0,0
2015-12-20,9,0,0,0,5
2015-12-21,6,0,0,0,0
2015-12-22,5,4,0,0,0
2015-12-23,9,4,5,0,0
2015-12-24,8,4,0,0,0
2015-12-25,13,0,0,0,0
2015-12-26,8,0,0,0,5
2015-12-27,11,0,0,0,8
2015-12-28,11,4,0,0,8
2015-12-29,12,5,0,0,0
2015-12-30,6,4,0,0,0
2015-12-31,7,0,0,0,5
2016-01-01,9,0,0,0,5
2016-01-02,13,0,0,0,8
2016-01-03,12,6,0,0,9
2016-01-04,14,4,0,0,6
2016-01-05,12,0,0,0,0
2016-01-06,9,5,0,0,7
2016-01-07,12,0,0,3,0
2016-01-08,16,0,0,0,6
2016-01-09,24,5,0,0,9
2016-01-10,24,5,0,4,9
2016-01-11,66,5,0,0,8
2016-01-12,28,0,0,0,5
2016-01-13,19,3,0,0,5
2016-01-14,100,46,34,57,66
2016-01-15,81,38,21,42,50
2016-01-16,67,37,19,31,41
2016-01-17,69,31,18,33,45
2016-01-18,44,22,11,16,28
2016-01-19,27,14,6,15,21
2016-01-20,33,15,8,16,15
2016-01-21,26,10,7,14,15
2016-01-22,28,13,6,11,14
2016-01-23,33,17,10,19,25
2016-01-24,38,13,8,17,20
2016-01-25,26,13,7,9,13
2016-01-26,17,10,5,11,12
2016-01-27,20,8,5,6,13
2016-01-28,15,6,0,9,9
2016-01-29,19,9,0,7,11
2016-01-30,28,12,0,12,18
2016-01-31,24,14,11,15,29
2016-02-01,18,11,5,7,14
2016-02-02,12,7,4,5,10
2016-02-03,9,4,4,6,12
2016-02-04,8,9,0,4,7
2016-02-05,14,4,4,6,13
2016-02-06,17,12,10,14,19
2016-02-07,18,9,10,12,17
2016-02-08,11,9,4,9,13
2016-02-09,12,8,4,8,7
2016-02-10,9,4,0,7,7
2016-02-11,10,5,0,6,8
2016-02-12,9,10,5,5,8
2016-02-13,14,8,5,11,12
2016-02-14,16,11,7,13,16
2016-02-15,15,8,5,6,10
2016-02-16,10,5,0,6,10
2016-02-17,10,6,0,6,10
2016-02-18,11,4,0,4,8
2016-02-19,12,7,4,7,12
2016-02-20,18,8,6,13,15
2016-02-21,20,12,6,14,20
2016-02-22,12,5,0,10,11
2016-02-23,9,7,3,9,10
2016-02-24,14,7,6,10,10
2016-02-25,18,9,5,10,16
2016-02-26,25,12,9,16,24
2016-02-27,45,20,16,29,39
