Category: All categories

Day,THE REVENANT oscar: (Worldwide),MAD MAX  FURY ROAD oscar: (Worldwide),THE MARTIAN oscar: (Worldwide),ROOM oscar: (Worldwide)
2015-11-27,0,0,0,0
2015-11-28,0,0,0,0
2015-11-29,0,0,0,0
2015-11-30,3,0,0,0
2015-12-01,0,0,0,0
2015-12-02,0,0,0,0
2015-12-03,0,0,0,5
2015-12-04,0,0,0,0
2015-12-05,5,0,0,0
2015-12-06,4,0,0,0
2015-12-07,0,0,0,0
2015-12-08,0,0,0,0
2015-12-09,7,0,0,4
2015-12-10,0,0,0,0
2015-12-11,0,0,0,0
2015-12-12,4,5,0,0
2015-12-13,0,0,0,0
2015-12-14,0,0,0,0
2015-12-15,0,0,0,0
2015-12-16,0,0,0,0
2015-12-17,4,0,0,0
2015-12-18,0,0,0,0
2015-12-19,0,0,0,4
2015-12-20,6,0,0,0
2015-12-21,6,0,0,5
2015-12-22,5,0,0,0
2015-12-23,9,0,0,0
2015-12-24,9,0,0,6
2015-12-25,14,0,0,0
2015-12-26,8,0,0,5
2015-12-27,13,0,0,0
2015-12-28,8,0,0,4
2015-12-29,10,0,0,0
2015-12-30,9,3,0,4
2015-12-31,9,0,0,0
2016-01-01,9,0,0,0
2016-01-02,12,0,0,6
2016-01-03,12,0,0,7
2016-01-04,13,0,0,0
2016-01-05,11,0,0,0
2016-01-06,8,0,0,4
2016-01-07,12,0,0,0
2016-01-08,18,0,0,5
2016-01-09,24,0,0,0
2016-01-10,24,0,0,8
2016-01-11,67,0,13,22
2016-01-12,28,0,4,6
2016-01-13,18,0,0,6
2016-01-14,100,24,15,76
2016-01-15,83,20,16,55
2016-01-16,69,10,15,47
2016-01-17,73,12,18,39
2016-01-18,46,8,9,30
2016-01-19,27,7,10,22
2016-01-20,33,0,6,17
2016-01-21,27,4,4,18
2016-01-22,28,0,0,15
2016-01-23,33,5,10,23
2016-01-24,36,0,11,24
2016-01-25,26,5,8,16
2016-01-26,16,0,4,12
2016-01-27,21,4,5,10
2016-01-28,15,0,3,9
2016-01-29,19,0,4,11
2016-01-30,26,0,5,20
2016-01-31,23,0,5,25
2016-02-01,20,3,0,11
2016-02-02,12,0,4,11
2016-02-03,8,0,0,10
2016-02-04,9,0,0,9
2016-02-05,14,0,0,9
2016-02-06,21,0,8,13
2016-02-07,17,0,0,16
2016-02-08,10,0,0,12
2016-02-09,10,0,0,11
2016-02-10,10,0,0,11
2016-02-11,9,0,0,9
2016-02-12,9,0,0,8
2016-02-13,14,0,5,10
2016-02-14,18,4,8,13
2016-02-15,14,0,3,9
2016-02-16,10,0,0,8
2016-02-17,10,0,0,8
2016-02-18,10,0,3,8
2016-02-19,13,0,0,9
2016-02-20,19,0,0,16
2016-02-21,20,0,4,18
2016-02-22,16,0,0,12
2016-02-23,11,3,0,11
2016-02-24,13,0,5,15
2016-02-25,18,0,4,15
2016-02-26,24,5,0,22
2016-02-27,43,7,8,31
