Category: All categories

Day,LA LA LAND oscar: (United States),MOONLIGHT oscar: (United States),ARRIVAL oscar: (United States),FENCES oscar: (United States),HACKSAW RIDGE oscar: (United States)
2016-11-25,0,0,0,0,0
2016-11-26,0,0,0,0,0
2016-11-27,0,0,0,0,0
2016-11-28,0,0,0,0,0
2016-11-29,0,0,0,0,0
2016-11-30,0,0,0,0,0
2016-12-01,0,0,0,0,0
2016-12-02,0,0,0,0,0
2016-12-03,0,0,0,0,0
2016-12-04,0,0,0,0,0
2016-12-05,0,0,0,0,0
2016-12-06,0,0,0,0,0
2016-12-07,0,0,0,0,0
2016-12-08,0,0,0,0,0
2016-12-09,0,0,0,0,0
2016-12-10,0,0,0,0,0
2016-12-11,0,0,0,0,0
2016-12-12,0,0,0,0,0
2016-12-13,0,0,0,0,0
2016-12-14,0,0,0,0,0
2016-12-15,0,0,0,0,0
2016-12-16,0,0,0,0,0
2016-12-17,0,0,0,0,0
2016-12-18,0,0,0,0,0
2016-12-19,0,0,0,0,0
2016-12-20,0,0,0,0,0
2016-12-21,0,0,0,0,0
2016-12-22,0,0,0,0,0
2016-12-23,0,0,0,0,0
2016-12-24,16,0,0,0,0
2016-12-25,0,0,0,0,0
2016-12-26,0,0,0,0,0
2016-12-27,0,0,0,0,0
2016-12-28,0,0,0,0,0
2016-12-29,0,0,0,10,0
2016-12-30,0,0,0,0,0
2016-12-31,0,0,0,0,0
2017-01-01,0,18,0,0,0
2017-01-02,0,0,0,0,0
2017-01-03,0,0,0,0,0
2017-01-04,13,14,0,0,0
2017-01-05,0,0,0,0,0
2017-01-06,0,0,0,0,0
2017-01-07,0,0,0,0,0
2017-01-08,0,17,0,10,0
2017-01-09,26,21,10,10,0
2017-01-10,0,0,0,0,0
2017-01-11,0,0,0,0,0
2017-01-12,0,0,0,0,0
2017-01-13,0,9,0,0,0
2017-01-14,0,0,0,0,0
2017-01-15,10,10,0,0,0
2017-01-16,12,0,0,0,0
2017-01-17,11,0,0,0,0
2017-01-18,0,0,0,0,0
2017-01-19,0,0,0,0,0
2017-01-20,0,0,0,0,0
2017-01-21,0,0,0,0,0
2017-01-22,11,0,0,0,0
2017-01-23,8,0,0,0,0
2017-01-24,100,80,62,44,59
2017-01-25,67,58,28,21,25
2017-01-26,27,19,17,10,16
2017-01-27,26,16,12,17,0
2017-01-28,31,22,20,14,15
2017-01-29,36,32,27,18,17
2017-01-30,14,14,0,12,0
2017-01-31,8,10,0,0,0
2017-02-01,10,8,0,0,0
2017-02-02,0,0,0,0,0
2017-02-03,10,9,9,11,0
2017-02-04,11,14,13,10,15
2017-02-05,21,13,13,0,0
2017-02-06,9,0,0,0,0
2017-02-07,12,9,0,0,0
2017-02-08,0,0,0,0,0
2017-02-09,0,0,0,0,0
2017-02-10,13,0,0,0,0
2017-02-11,13,11,0,0,12
2017-02-12,14,15,11,12,0
2017-02-13,10,0,0,0,9
2017-02-14,0,0,0,0,0
2017-02-15,0,13,12,16,0
2017-02-16,0,10,12,0,0
2017-02-17,0,10,8,0,0
2017-02-18,10,15,14,0,12
2017-02-19,19,28,19,0,0
2017-02-20,13,14,27,12,0
2017-02-21,12,17,8,0,0
2017-02-22,8,18,0,9,10
2017-02-23,20,16,8,0,10
2017-02-24,30,35,9,11,14
2017-02-25,38,57,27,26,35
