Category: All categories

Day,LA LA LAND oscar: (United States),HELL or HIGH WATER oscar: (United States),HIDDEN FIGURES oscar: (United States),LION oscar: (United States),MANCHESTER BY THE SEA oscar: (United States)
2016-11-25,0,0,0,0,13
2016-11-26,0,0,0,0,0
2016-11-27,0,0,0,0,0
2016-11-28,0,0,0,0,0
2016-11-29,0,0,0,0,0
2016-11-30,0,0,0,0,0
2016-12-01,0,0,0,0,0
2016-12-02,0,0,0,0,0
2016-12-03,0,0,0,0,0
2016-12-04,0,0,0,0,0
2016-12-05,0,0,0,0,0
2016-12-06,0,0,0,0,0
2016-12-07,0,0,0,0,12
2016-12-08,0,0,0,0,0
2016-12-09,0,0,0,0,0
2016-12-10,0,0,0,0,0
2016-12-11,0,0,0,0,0
2016-12-12,0,0,0,0,0
2016-12-13,0,0,0,0,0
2016-12-14,0,0,0,0,0
2016-12-15,0,0,0,0,0
2016-12-16,0,0,0,0,0
2016-12-17,0,0,0,0,0
2016-12-18,0,0,0,0,0
2016-12-19,0,0,0,0,0
2016-12-20,0,0,0,0,0
2016-12-21,0,0,0,0,0
2016-12-22,0,0,0,0,0
2016-12-23,0,0,0,0,0
2016-12-24,0,0,0,0,0
2016-12-25,0,0,0,0,0
2016-12-26,0,0,0,0,0
2016-12-27,0,0,0,0,0
2016-12-28,0,0,0,0,0
2016-12-29,0,0,0,0,0
2016-12-30,0,0,0,0,0
2016-12-31,0,0,0,0,0
2017-01-01,0,0,0,0,0
2017-01-02,0,0,0,0,0
2017-01-03,11,0,0,0,0
2017-01-04,0,0,0,0,0
2017-01-05,0,0,0,0,0
2017-01-06,0,0,0,0,11
2017-01-07,0,0,0,0,0
2017-01-08,12,0,0,0,14
2017-01-09,23,0,10,0,13
2017-01-10,0,0,0,0,0
2017-01-11,0,0,0,0,0
2017-01-12,0,0,0,0,0
2017-01-13,0,11,0,0,0
2017-01-14,0,0,0,0,0
2017-01-15,11,0,0,10,0
2017-01-16,0,0,0,0,0
2017-01-17,14,0,0,0,0
2017-01-18,0,0,0,0,0
2017-01-19,0,0,0,0,0
2017-01-20,0,0,0,0,0
2017-01-21,0,0,0,0,0
2017-01-22,0,0,0,0,0
2017-01-23,0,0,0,0,0
2017-01-24,100,48,49,68,43
2017-01-25,71,22,38,36,31
2017-01-26,29,13,20,23,12
2017-01-27,26,11,21,22,14
2017-01-28,32,15,29,35,23
2017-01-29,38,12,34,22,19
2017-01-30,14,0,16,10,9
2017-01-31,12,0,0,0,0
2017-02-01,0,0,0,0,0
2017-02-02,0,0,0,9,0
2017-02-03,0,0,0,15,0
2017-02-04,33,0,13,20,0
2017-02-05,20,15,21,15,0
2017-02-06,12,0,10,9,0
2017-02-07,10,0,0,17,0
2017-02-08,0,0,0,10,0
2017-02-09,0,0,10,10,0
2017-02-10,10,0,0,12,0
2017-02-11,11,0,11,21,0
2017-02-12,15,12,19,24,14
2017-02-13,12,0,0,0,0
2017-02-14,10,0,0,0,0
2017-02-15,0,0,12,0,0
2017-02-16,0,0,0,10,0
2017-02-17,11,0,0,13,0
2017-02-18,15,0,13,15,11
2017-02-19,25,0,16,29,15
2017-02-20,14,0,17,23,17
2017-02-21,13,0,8,12,0
2017-02-22,15,0,16,16,9
2017-02-23,21,14,9,22,17
2017-02-24,26,16,13,28,9
2017-02-25,44,17,32,38,38
