Category: All categories

Day,LA LA LAND oscar: (Worldwide),MOONLIGHT oscar: (Worldwide),ARRIVAL oscar: (Worldwide),FENCES oscar: (Worldwide),HACKSAW RIDGE oscar: (Worldwide)
2016-11-25,0,0,0,0,0
2016-11-26,0,0,0,0,0
2016-11-27,0,0,0,0,0
2016-11-28,0,0,0,0,0
2016-11-29,0,3,0,0,0
2016-11-30,0,0,0,0,0
2016-12-01,0,0,0,0,0
2016-12-02,0,0,0,0,0
2016-12-03,0,0,0,3,0
2016-12-04,0,0,0,0,0
2016-12-05,0,0,0,0,0
2016-12-06,0,0,0,0,0
2016-12-07,0,0,0,0,0
2016-12-08,0,0,0,0,0
2016-12-09,0,0,0,0,0
2016-12-10,0,0,0,0,0
2016-12-11,4,0,0,0,0
2016-12-12,3,3,0,0,4
2016-12-13,0,0,0,0,0
2016-12-14,0,0,0,0,0
2016-12-15,3,3,0,0,0
2016-12-16,0,0,0,0,0
2016-12-17,5,0,0,0,0
2016-12-18,4,0,0,0,0
2016-12-19,0,0,0,0,0
2016-12-20,5,0,0,0,0
2016-12-21,0,0,0,0,0
2016-12-22,0,0,0,0,0
2016-12-23,0,0,0,0,0
2016-12-24,0,0,0,0,0
2016-12-25,0,0,0,0,0
2016-12-26,4,0,0,0,0
2016-12-27,3,4,0,0,0
2016-12-28,4,0,0,0,0
2016-12-29,6,0,0,0,0
2016-12-30,7,0,0,0,0
2016-12-31,5,0,0,0,0
2017-01-01,0,0,0,0,0
2017-01-02,4,5,0,0,0
2017-01-03,4,0,4,0,0
2017-01-04,5,5,0,3,0
2017-01-05,4,4,0,0,0
2017-01-06,6,4,0,0,0
2017-01-07,7,4,0,0,0
2017-01-08,8,5,5,4,3
2017-01-09,24,17,4,5,3
2017-01-10,6,5,0,0,3
2017-01-11,7,0,0,0,0
2017-01-12,6,0,0,0,0
2017-01-13,9,4,0,0,0
2017-01-14,8,4,0,3,0
2017-01-15,12,4,0,3,0
2017-01-16,12,4,0,0,0
2017-01-17,8,4,3,0,0
2017-01-18,7,0,0,0,0
2017-01-19,6,3,0,0,0
2017-01-20,7,3,0,0,0
2017-01-21,10,5,3,0,0
2017-01-22,12,6,3,4,3
2017-01-23,8,7,0,0,0
2017-01-24,100,61,46,38,41
2017-01-25,78,39,29,25,26
2017-01-26,42,19,17,14,12
2017-01-27,33,18,12,11,9
2017-01-28,41,21,17,18,16
2017-01-29,44,20,15,15,15
2017-01-30,25,16,9,11,11
2017-01-31,17,9,8,5,6
2017-02-01,18,8,9,7,5
2017-02-02,15,7,5,7,5
2017-02-03,18,10,8,6,7
2017-02-04,21,12,12,8,7
2017-02-05,26,11,11,9,8
2017-02-06,14,7,5,6,5
2017-02-07,14,8,5,4,6
2017-02-08,11,9,6,4,5
2017-02-09,11,6,4,4,4
2017-02-10,13,11,5,7,7
2017-02-11,15,13,10,9,10
2017-02-12,19,17,7,9,10
2017-02-13,15,8,9,6,5
2017-02-14,8,6,4,5,5
2017-02-15,11,8,4,4,4
2017-02-16,9,7,5,5,4
2017-02-17,12,11,4,6,5
2017-02-18,14,16,12,9,8
2017-02-19,18,19,12,9,9
2017-02-20,15,12,13,10,8
2017-02-21,16,17,9,6,6
2017-02-22,16,14,9,10,8
2017-02-23,18,14,8,10,6
2017-02-24,27,22,12,16,12
2017-02-25,44,42,22,23,20
