Category: All categories

Day,LA LA LAND oscar: (Worldwide),HELL or HIGH WATER oscar: (Worldwide),HIDDEN FIGURES oscar: (Worldwide),LION oscar: (Worldwide),MANCHESTER BY THE SEA oscar: (Worldwide)
2016-11-25,0,0,0,0,0
2016-11-26,0,0,0,0,0
2016-11-27,0,0,0,0,0
2016-11-28,0,0,0,0,0
2016-11-29,0,0,0,0,0
2016-11-30,0,0,0,0,0
2016-12-01,0,0,0,0,0
2016-12-02,0,0,0,0,0
2016-12-03,0,0,0,0,0
2016-12-04,0,0,0,0,0
2016-12-05,0,0,0,0,0
2016-12-06,0,0,0,0,0
2016-12-07,0,0,0,0,0
2016-12-08,0,0,0,0,0
2016-12-09,0,0,0,0,0
2016-12-10,0,0,0,0,0
2016-12-11,4,0,0,0,0
2016-12-12,3,0,0,0,4
2016-12-13,0,0,0,0,0
2016-12-14,0,0,0,0,0
2016-12-15,3,0,0,0,0
2016-12-16,0,0,0,0,0
2016-12-17,5,0,0,0,0
2016-12-18,4,0,0,0,0
2016-12-19,0,0,0,0,0
2016-12-20,5,0,0,0,0
2016-12-21,0,0,0,0,0
2016-12-22,0,0,0,0,0
2016-12-23,0,0,0,0,0
2016-12-24,0,0,0,0,3
2016-12-25,0,0,0,4,0
2016-12-26,4,0,0,0,3
2016-12-27,3,0,0,3,3
2016-12-28,4,0,0,0,3
2016-12-29,6,0,0,0,0
2016-12-30,7,0,0,0,3
2016-12-31,5,0,0,0,0
2017-01-01,0,0,0,0,5
2017-01-02,4,0,0,0,3
2017-01-03,4,0,0,3,4
2017-01-04,5,0,0,0,0
2017-01-05,4,0,0,0,3
2017-01-06,6,3,0,3,4
2017-01-07,7,0,0,4,4
2017-01-08,8,0,0,0,4
2017-01-09,24,0,0,3,10
2017-01-10,6,0,0,3,4
2017-01-11,7,0,0,0,0
2017-01-12,6,0,0,0,0
2017-01-13,9,0,3,0,0
2017-01-14,8,0,4,0,3
2017-01-15,12,0,0,4,4
2017-01-16,12,0,0,3,0
2017-01-17,8,0,0,0,0
2017-01-18,7,0,4,0,0
2017-01-19,6,0,0,0,0
2017-01-20,7,0,0,0,3
2017-01-21,10,0,0,4,5
2017-01-22,12,0,3,4,4
2017-01-23,8,0,0,0,6
2017-01-24,100,29,31,48,33
2017-01-25,78,14,20,34,25
2017-01-26,42,9,13,23,12
2017-01-27,33,7,12,18,12
2017-01-28,41,11,14,26,19
2017-01-29,44,10,15,22,22
2017-01-30,25,6,9,14,7
2017-01-31,17,3,6,11,7
2017-02-01,18,5,6,9,4
2017-02-02,15,3,4,7,3
2017-02-03,18,4,5,10,6
2017-02-04,21,6,9,17,9
2017-02-05,26,7,10,18,9
2017-02-06,14,4,4,11,6
2017-02-07,14,4,4,9,6
2017-02-08,11,0,4,10,7
2017-02-09,11,4,7,9,5
2017-02-10,13,0,5,11,7
2017-02-11,15,5,8,17,8
2017-02-12,19,4,11,18,12
2017-02-13,15,4,4,9,6
2017-02-14,8,0,0,8,3
2017-02-15,11,7,5,5,5
2017-02-16,9,0,5,7,5
2017-02-17,12,5,4,14,7
2017-02-18,14,4,10,16,11
2017-02-19,18,7,8,23,10
2017-02-20,15,7,9,14,9
2017-02-21,16,6,7,10,8
2017-02-22,16,6,8,15,8
2017-02-23,18,6,5,15,13
2017-02-24,27,9,11,18,11
2017-02-25,44,15,20,35,24
