类别：所有类别

日,THE SHAPE OF WATER oscar: (美国),CALL ME BY YOUR NAME oscar: (美国),DARKEST HOUR oscar: (美国),DUNKIRK oscar: (美国),GET OUT oscar: (美国)
2017-12-03,0,0,0,0,0
2017-12-04,0,0,0,0,0
2017-12-05,0,0,0,0,0
2017-12-06,0,0,0,0,0
2017-12-07,0,0,0,0,0
2017-12-08,0,0,0,0,0
2017-12-09,0,0,0,0,0
2017-12-10,0,0,0,0,0
2017-12-11,0,0,0,0,0
2017-12-12,0,0,0,0,0
2017-12-13,0,0,0,0,0
2017-12-14,0,0,0,0,0
2017-12-15,0,0,0,0,0
2017-12-16,0,0,0,0,0
2017-12-17,0,0,0,0,0
2017-12-18,0,0,0,0,0
2017-12-19,0,0,0,0,0
2017-12-20,0,0,0,0,0
2017-12-21,0,0,0,0,0
2017-12-22,0,0,0,0,0
2017-12-23,0,0,0,0,0
2017-12-24,0,0,0,0,0
2017-12-25,0,0,0,0,0
2017-12-26,0,0,0,0,0
2017-12-27,0,0,0,0,0
2017-12-28,0,9,0,0,0
2017-12-29,0,0,0,0,0
2017-12-30,0,0,0,0,0
2017-12-31,0,0,0,0,0
2018-01-01,0,9,0,0,0
2018-01-02,0,0,0,0,0
2018-01-03,0,0,0,0,0
2018-01-04,0,0,0,0,0
2018-01-05,0,0,0,0,0
2018-01-06,0,0,0,0,0
2018-01-07,0,0,0,0,0
2018-01-08,9,10,7,0,11
2018-01-09,0,0,0,0,0
2018-01-10,0,0,0,0,7
2018-01-11,0,0,0,0,0
2018-01-12,0,0,0,0,0
2018-01-13,0,0,0,0,0
2018-01-14,9,0,0,0,0
2018-01-15,7,12,0,0,0
2018-01-16,0,0,0,0,0
2018-01-17,0,0,0,0,0
2018-01-18,0,0,0,0,0
2018-01-19,0,0,0,0,0
2018-01-20,0,10,0,0,0
2018-01-21,0,0,0,0,0
2018-01-22,0,0,0,0,0
2018-01-23,100,80,60,25,82
2018-01-24,77,50,32,23,55
2018-01-25,28,29,17,12,23
2018-01-26,17,25,15,10,19
2018-01-27,40,29,17,12,25
2018-01-28,35,30,29,18,28
2018-01-29,20,18,13,11,8
2018-01-30,0,12,0,0,7
2018-01-31,7,0,0,0,0
2018-02-01,0,7,0,0,7
2018-02-02,0,19,0,7,8
2018-02-03,15,15,12,8,13
2018-02-04,15,10,0,0,11
2018-02-05,7,7,8,0,0
2018-02-06,11,0,0,0,8
2018-02-07,0,8,0,0,8
2018-02-08,0,0,0,0,0
2018-02-09,0,0,0,0,0
2018-02-10,9,8,0,0,0
2018-02-11,9,0,0,0,0
2018-02-12,0,7,7,0,0
2018-02-13,0,0,0,0,0
2018-02-14,0,8,0,0,0
2018-02-15,0,0,0,0,0
2018-02-16,0,7,0,0,8
2018-02-17,0,11,0,0,0
2018-02-18,0,0,12,0,9
2018-02-19,0,0,0,0,0
2018-02-20,7,9,0,0,0
2018-02-21,0,0,0,0,0
2018-02-22,0,0,0,0,0
2018-02-23,8,9,0,0,0
2018-02-24,0,12,0,0,8
2018-02-25,15,20,13,11,12
2018-02-26,11,9,7,0,7
2018-02-27,0,0,0,0,9
2018-02-28,10,9,0,0,13
2018-03-01,10,12,12,8,16
2018-03-02,13,20,15,10,17
2018-03-03,32,38,31,10,41
