类别：所有类别

日,THE SHAPE OF WATER oscar: (全球),CALL ME BY YOUR NAME oscar: (全球),DARKEST HOUR oscar: (全球),DUNKIRK oscar: (全球),GET OUT oscar: (全球)
2017-12-03,0,0,0,0,0
2017-12-04,0,3,0,0,0
2017-12-05,5,4,0,0,0
2017-12-06,0,0,0,0,0
2017-12-07,0,0,0,0,0
2017-12-08,0,0,0,0,0
2017-12-09,0,0,0,0,0
2017-12-10,0,0,0,0,0
2017-12-11,0,0,0,0,0
2017-12-12,4,0,0,0,0
2017-12-13,0,0,0,0,0
2017-12-14,0,0,0,0,0
2017-12-15,0,0,0,0,0
2017-12-16,0,4,0,0,0
2017-12-17,0,0,0,0,0
2017-12-18,0,0,0,0,0
2017-12-19,0,0,0,0,0
2017-12-20,0,0,0,0,0
2017-12-21,0,0,0,0,0
2017-12-22,0,0,0,0,0
2017-12-23,0,0,0,0,0
2017-12-24,0,6,0,0,0
2017-12-25,0,0,0,0,0
2017-12-26,0,0,0,0,0
2017-12-27,0,3,0,0,0
2017-12-28,0,7,0,0,0
2017-12-29,0,0,0,0,0
2017-12-30,0,4,0,0,0
2017-12-31,0,5,0,0,0
2018-01-01,4,4,0,0,0
2018-01-02,0,6,0,0,0
2018-01-03,3,4,0,0,0
2018-01-04,3,0,0,0,0
2018-01-05,0,4,0,0,0
2018-01-06,0,5,0,0,4
2018-01-07,5,0,0,5,4
2018-01-08,9,10,8,7,7
2018-01-09,3,5,0,0,4
2018-01-10,0,0,0,0,0
2018-01-11,8,4,0,0,0
2018-01-12,5,3,3,0,0
2018-01-13,4,6,4,0,0
2018-01-14,8,4,0,0,0
2018-01-15,4,4,0,0,0
2018-01-16,0,0,0,0,0
2018-01-17,4,0,0,0,0
2018-01-18,0,0,0,0,4
2018-01-19,3,6,0,3,0
2018-01-20,4,8,6,0,0
2018-01-21,7,5,5,0,4
2018-01-22,5,6,0,0,0
2018-01-23,100,73,51,32,66
2018-01-24,74,53,36,22,54
2018-01-25,30,30,19,14,22
2018-01-26,27,27,17,11,21
2018-01-27,34,30,24,15,21
2018-01-28,32,32,22,16,24
2018-01-29,18,20,11,8,12
2018-01-30,12,12,8,5,9
2018-01-31,10,10,7,5,6
2018-02-01,9,10,4,5,7
2018-02-02,8,11,6,4,8
2018-02-03,15,14,11,8,10
2018-02-04,17,13,11,4,10
2018-02-05,10,12,6,4,6
2018-02-06,7,8,3,4,0
2018-02-07,6,8,6,5,5
2018-02-08,6,6,4,5,7
2018-02-09,7,8,7,0,4
2018-02-10,9,12,9,7,6
2018-02-11,12,12,8,4,9
2018-02-12,7,8,3,4,5
2018-02-13,4,6,5,0,3
2018-02-14,7,6,3,0,5
2018-02-15,10,7,6,3,5
2018-02-16,5,10,7,4,7
2018-02-17,12,13,9,5,10
2018-02-18,9,11,8,6,11
2018-02-19,6,9,6,3,8
2018-02-20,7,7,0,5,5
2018-02-21,7,6,5,3,5
2018-02-22,5,7,5,3,5
2018-02-23,8,13,8,4,7
2018-02-24,9,11,6,5,10
2018-02-25,16,15,13,10,10
2018-02-26,9,13,7,6,7
2018-02-27,8,13,8,7,9
2018-02-28,9,13,6,6,12
2018-03-01,10,13,8,8,15
2018-03-02,19,22,15,15,21
2018-03-03,27,35,24,19,34
