类别：所有类别

日,THE SHAPE OF WATER oscar: (全球),LADY BIRD oscar: (全球),PHANTOM THREAD oscar: (全球),THE POST oscar: (全球),"THREE BILLBOARDS OUTSIDE EBBING, MISSOURI oscar: (全球)"
2017-12-03,0,0,0,0,0
2017-12-04,0,0,0,0,0
2017-12-05,0,0,0,0,0
2017-12-06,0,0,0,0,0
2017-12-07,0,0,0,0,0
2017-12-08,0,0,0,0,0
2017-12-09,0,0,0,0,0
2017-12-10,0,5,0,0,0
2017-12-11,0,0,0,3,0
2017-12-12,0,0,0,0,0
2017-12-13,0,0,0,0,0
2017-12-14,0,0,0,0,0
2017-12-15,0,0,0,0,0
2017-12-16,0,0,0,0,0
2017-12-17,0,0,0,0,0
2017-12-18,0,0,0,0,0
2017-12-19,0,0,0,0,0
2017-12-20,0,0,0,0,0
2017-12-21,3,0,0,0,0
2017-12-22,0,0,4,0,0
2017-12-23,0,5,0,0,0
2017-12-24,0,4,0,0,0
2017-12-25,0,0,0,0,0
2017-12-26,0,0,0,0,0
2017-12-27,5,4,0,0,0
2017-12-28,4,0,0,0,0
2017-12-29,0,0,0,0,0
2017-12-30,0,0,0,0,0
2017-12-31,4,0,0,0,0
2018-01-01,4,0,0,0,0
2018-01-02,0,0,0,0,0
2018-01-03,0,0,0,0,0
2018-01-04,0,0,0,0,0
2018-01-05,0,0,0,4,0
2018-01-06,0,0,0,4,0
2018-01-07,0,5,0,3,0
2018-01-08,10,15,4,7,4
2018-01-09,5,4,0,3,0
2018-01-10,0,5,0,5,0
2018-01-11,5,3,0,3,0
2018-01-12,4,0,0,4,0
2018-01-13,5,0,0,7,0
2018-01-14,9,4,0,5,0
2018-01-15,0,5,0,5,0
2018-01-16,0,0,0,3,0
2018-01-17,0,4,0,4,0
2018-01-18,0,0,3,0,0
2018-01-19,4,0,0,0,0
2018-01-20,5,5,0,5,0
2018-01-21,8,5,0,6,0
2018-01-22,5,4,4,3,0
2018-01-23,100,53,67,31,9
2018-01-24,77,34,47,28,7
2018-01-25,31,17,18,16,0
2018-01-26,27,18,19,16,5
2018-01-27,34,26,28,25,5
2018-01-28,31,23,29,22,5
2018-01-29,16,16,12,14,3
2018-01-30,10,8,9,9,0
2018-01-31,11,8,9,7,4
2018-02-01,9,6,7,5,0
2018-02-02,7,4,7,10,0
2018-02-03,15,10,16,12,0
2018-02-04,18,12,12,14,0
2018-02-05,8,7,8,6,0
2018-02-06,6,5,6,6,0
2018-02-07,7,5,7,8,0
2018-02-08,8,7,0,5,0
2018-02-09,6,6,6,4,0
2018-02-10,10,13,10,7,0
2018-02-11,12,11,15,11,0
2018-02-12,6,7,6,5,0
2018-02-13,6,8,5,6,0
2018-02-14,7,6,6,7,0
2018-02-15,11,9,6,4,0
2018-02-16,6,5,6,7,0
2018-02-17,14,11,8,10,0
2018-02-18,8,10,8,10,0
2018-02-19,7,8,6,5,0
2018-02-20,7,6,0,3,0
2018-02-21,8,4,6,5,0
2018-02-22,5,6,5,3,0
2018-02-23,9,9,10,10,0
2018-02-24,9,13,11,9,0
2018-02-25,15,16,12,14,0
2018-02-26,10,9,11,8,4
2018-02-27,10,8,10,7,0
2018-02-28,11,14,11,6,0
2018-03-01,11,15,12,7,0
2018-03-02,17,19,21,14,0
2018-03-03,28,38,25,23,0
