类别：所有类别

日,ROMA oscar: (美国),GREEN BOOK oscar: (美国),BLACK PANTHER oscar: (美国),BLACKKKLANSMAN oscar: (美国),BOHEMIAN RHAPSODY oscar: (美国)
2018-11-23,0,8,0,0,0
2018-11-24,0,0,0,0,0
2018-11-25,0,0,0,0,0
2018-11-26,0,0,0,0,0
2018-11-27,0,0,0,0,0
2018-11-28,0,0,0,0,0
2018-11-29,0,0,0,0,0
2018-11-30,0,0,0,0,0
2018-12-01,0,0,0,0,0
2018-12-02,0,0,0,0,0
2018-12-03,0,0,0,0,0
2018-12-04,0,0,0,0,0
2018-12-05,0,0,0,0,0
2018-12-06,0,0,0,0,0
2018-12-07,0,0,0,0,0
2018-12-08,0,0,0,0,0
2018-12-09,0,0,0,0,0
2018-12-10,0,0,0,0,0
2018-12-11,0,0,0,0,0
2018-12-12,0,0,0,0,0
2018-12-13,0,0,0,0,0
2018-12-14,0,0,0,0,0
2018-12-15,0,0,0,0,0
2018-12-16,0,0,0,7,0
2018-12-17,0,0,0,0,0
2018-12-18,0,0,0,0,0
2018-12-19,0,0,0,0,0
2018-12-20,0,0,0,0,0
2018-12-21,0,0,0,0,0
2018-12-22,0,0,0,0,0
2018-12-23,0,0,0,0,0
2018-12-24,0,0,0,0,0
2018-12-25,0,0,0,0,0
2018-12-26,0,0,0,0,0
2018-12-27,0,0,0,0,0
2018-12-28,0,0,0,0,0
2018-12-29,0,0,0,0,0
2018-12-30,0,0,0,0,0
2018-12-31,0,0,0,0,0
2019-01-01,0,0,0,0,0
2019-01-02,0,0,0,0,0
2019-01-03,0,0,0,0,0
2019-01-04,0,0,0,0,0
2019-01-05,0,0,0,0,0
2019-01-06,0,0,0,0,0
2019-01-07,11,12,8,0,15
2019-01-08,0,0,0,0,5
2019-01-09,0,0,0,0,0
2019-01-10,0,0,0,0,0
2019-01-11,0,0,0,0,0
2019-01-12,0,0,0,0,6
2019-01-13,0,0,0,0,0
2019-01-14,0,0,0,0,0
2019-01-15,5,0,0,0,0
2019-01-16,0,0,0,0,0
2019-01-17,0,0,0,0,0
2019-01-18,0,0,0,0,0
2019-01-19,0,0,0,0,0
2019-01-20,0,0,0,0,0
2019-01-21,0,0,0,0,0
2019-01-22,100,40,42,29,24
2019-01-23,58,22,37,16,40
2019-01-24,26,10,19,6,19
2019-01-25,21,8,10,0,9
2019-01-26,26,17,0,7,13
2019-01-27,32,19,14,18,12
2019-01-28,21,10,14,8,14
2019-01-29,11,0,9,0,0
2019-01-30,0,0,7,0,0
2019-01-31,8,0,6,0,0
2019-02-01,9,8,0,0,0
2019-02-02,18,15,0,0,10
2019-02-03,16,13,0,7,0
2019-02-04,7,5,0,0,0
2019-02-05,0,0,0,0,0
2019-02-06,0,0,0,0,0
2019-02-07,0,7,0,0,0
2019-02-08,0,0,0,0,5
2019-02-09,9,8,0,0,9
2019-02-10,14,21,6,6,7
2019-02-11,7,0,0,0,0
2019-02-12,8,0,0,0,0
2019-02-13,0,5,0,0,0
2019-02-14,0,0,0,0,7
2019-02-15,0,0,6,0,11
2019-02-16,14,13,0,8,13
2019-02-17,13,17,0,7,13
2019-02-18,16,11,0,0,17
2019-02-19,14,8,0,9,9
2019-02-20,11,11,5,0,7
2019-02-21,11,7,0,6,9
2019-02-22,23,12,5,9,10
2019-02-23,42,32,12,9,17
