类别：所有类别

日,ROMA oscar: (美国),THE FAVOURITE oscar: (美国),A STAR IS BORN oscar: (美国),VICE oscar: (美国)
2018-11-23,0,0,0,0
2018-11-24,0,0,0,0
2018-11-25,0,0,0,0
2018-11-26,0,0,0,0
2018-11-27,0,0,0,0
2018-11-28,0,0,0,0
2018-11-29,0,0,0,0
2018-11-30,0,0,0,0
2018-12-01,0,0,0,0
2018-12-02,0,0,0,0
2018-12-03,0,0,0,0
2018-12-04,0,0,0,0
2018-12-05,0,0,0,0
2018-12-06,0,0,0,0
2018-12-07,0,0,7,0
2018-12-08,0,0,0,0
2018-12-09,0,0,0,0
2018-12-10,0,0,0,0
2018-12-11,0,0,0,0
2018-12-12,0,0,0,0
2018-12-13,0,0,0,0
2018-12-14,0,0,0,0
2018-12-15,0,0,0,0
2018-12-16,0,0,0,0
2018-12-17,0,0,0,0
2018-12-18,0,0,0,0
2018-12-19,0,0,0,0
2018-12-20,0,0,0,0
2018-12-21,0,0,0,0
2018-12-22,0,0,0,0
2018-12-23,0,0,0,0
2018-12-24,0,0,0,0
2018-12-25,0,0,0,0
2018-12-26,0,0,0,0
2018-12-27,0,0,0,0
2018-12-28,0,0,0,0
2018-12-29,0,0,0,0
2018-12-30,0,0,0,0
2018-12-31,0,0,0,0
2019-01-01,0,0,0,0
2019-01-02,0,0,0,0
2019-01-03,0,0,0,0
2019-01-04,0,0,9,5
2019-01-05,0,0,11,0
2019-01-06,0,0,7,0
2019-01-07,13,7,13,7
2019-01-08,0,0,0,0
2019-01-09,0,0,0,0
2019-01-10,0,0,0,6
2019-01-11,0,0,0,0
2019-01-12,0,0,0,0
2019-01-13,0,0,0,0
2019-01-14,0,0,0,0
2019-01-15,6,0,0,0
2019-01-16,0,0,0,0
2019-01-17,0,0,0,0
2019-01-18,0,0,0,0
2019-01-19,6,0,0,0
2019-01-20,0,0,8,0
2019-01-21,6,0,0,0
2019-01-22,100,64,30,37
2019-01-23,58,29,22,21
2019-01-24,27,16,8,11
2019-01-25,19,0,7,0
2019-01-26,26,19,14,0
2019-01-27,32,22,16,16
2019-01-28,20,9,13,10
2019-01-29,9,0,7,5
2019-01-30,7,6,6,0
2019-01-31,8,0,6,0
2019-02-01,9,7,7,0
2019-02-02,15,9,9,8
2019-02-03,14,9,0,6
2019-02-04,8,0,0,0
2019-02-05,0,0,9,0
2019-02-06,0,0,0,0
2019-02-07,0,0,0,0
2019-02-08,0,0,0,0
2019-02-09,8,8,8,8
2019-02-10,10,11,7,0
2019-02-11,6,0,5,0
2019-02-12,6,0,6,0
2019-02-13,5,0,0,6
2019-02-14,0,0,0,0
2019-02-15,0,5,7,0
2019-02-16,14,11,0,7
2019-02-17,18,0,15,9
2019-02-18,16,8,8,13
2019-02-19,14,7,8,7
2019-02-20,8,9,8,9
2019-02-21,14,10,8,0
2019-02-22,25,11,10,11
2019-02-23,38,21,35,24
