类别：所有类别

日,ROMA oscar: (全球),GREEN BOOK oscar: (全球),BLACK PANTHER oscar: (全球),BLACKKKLANSMAN oscar: (全球),BOHEMIAN RHAPSODY oscar: (全球)
2018-11-23,0,0,0,0,0
2018-11-24,0,0,0,0,2
2018-11-25,0,0,0,0,2
2018-11-26,0,0,0,0,1
2018-11-27,2,0,0,0,0
2018-11-28,0,0,0,0,0
2018-11-29,0,0,0,0,0
2018-11-30,0,0,0,0,0
2018-12-01,0,0,0,0,0
2018-12-02,2,0,0,0,0
2018-12-03,0,0,0,0,0
2018-12-04,0,0,0,0,2
2018-12-05,2,0,0,0,0
2018-12-06,2,0,0,0,0
2018-12-07,0,2,2,0,0
2018-12-08,2,0,0,0,0
2018-12-09,0,0,0,0,0
2018-12-10,0,0,0,0,2
2018-12-11,0,0,2,0,0
2018-12-12,0,0,0,0,0
2018-12-13,0,0,0,0,0
2018-12-14,2,0,0,0,0
2018-12-15,3,0,0,0,0
2018-12-16,4,0,0,2,3
2018-12-17,2,0,0,0,0
2018-12-18,4,0,0,0,0
2018-12-19,3,0,0,0,0
2018-12-20,3,0,0,0,0
2018-12-21,2,0,0,0,0
2018-12-22,3,0,0,0,0
2018-12-23,3,0,0,0,0
2018-12-24,2,0,0,0,0
2018-12-25,3,2,0,0,3
2018-12-26,2,0,0,0,0
2018-12-27,0,0,0,0,0
2018-12-28,2,0,0,0,0
2018-12-29,3,0,0,0,0
2018-12-30,3,0,0,0,0
2018-12-31,0,0,10,0,0
2019-01-01,0,0,0,3,0
2019-01-02,2,2,0,0,2
2019-01-03,2,0,0,0,0
2019-01-04,0,0,0,0,2
2019-01-05,0,0,0,0,0
2019-01-06,2,0,0,0,2
2019-01-07,10,9,4,0,15
2019-01-08,3,0,0,0,4
2019-01-09,4,3,0,0,3
2019-01-10,2,2,0,0,3
2019-01-11,3,0,0,0,3
2019-01-12,2,4,0,0,3
2019-01-13,3,3,0,0,2
2019-01-14,5,3,0,0,3
2019-01-15,2,0,0,0,2
2019-01-16,0,0,0,0,2
2019-01-17,2,0,0,0,2
2019-01-18,3,0,0,0,0
2019-01-19,3,0,0,0,4
2019-01-20,4,5,0,0,3
2019-01-21,3,3,0,0,3
2019-01-22,100,37,37,21,25
2019-01-23,60,22,30,15,27
2019-01-24,29,12,14,6,13
2019-01-25,22,10,8,3,8
2019-01-26,26,15,8,5,12
2019-01-27,30,13,8,7,11
2019-01-28,19,10,10,4,7
2019-01-29,10,5,7,3,4
2019-01-30,8,8,3,2,3
2019-01-31,9,6,2,0,3
2019-02-01,7,6,5,2,4
2019-02-02,12,13,4,2,8
2019-02-03,16,14,5,4,7
2019-02-04,9,5,3,2,4
2019-02-05,6,6,3,0,4
2019-02-06,5,3,2,2,3
2019-02-07,5,4,3,0,4
2019-02-08,5,5,2,0,3
2019-02-09,8,8,2,2,7
2019-02-10,11,14,3,5,7
2019-02-11,11,6,2,3,5
2019-02-12,9,4,0,2,4
2019-02-13,7,5,2,2,4
2019-02-14,7,6,2,2,2
2019-02-15,6,6,3,2,6
2019-02-16,13,10,3,4,7
2019-02-17,15,13,2,3,12
2019-02-18,13,9,3,3,9
2019-02-19,11,5,3,4,8
2019-02-20,10,9,2,4,5
2019-02-21,10,8,3,4,4
2019-02-22,20,12,5,5,9
2019-02-23,37,23,8,6,15
