类别：所有类别

日,ROMA oscar: (全球),THE FAVOURITE oscar: (全球),A STAR IS BORN oscar: (全球),VICE oscar: (全球)
2018-11-23,0,0,0,0
2018-11-24,0,0,0,0
2018-11-25,0,0,0,0
2018-11-26,0,0,0,0
2018-11-27,2,0,0,0
2018-11-28,0,0,0,0
2018-11-29,0,0,0,0
2018-11-30,0,0,2,0
2018-12-01,0,0,0,0
2018-12-02,2,0,2,0
2018-12-03,0,0,2,0
2018-12-04,0,0,0,0
2018-12-05,0,0,0,0
2018-12-06,0,0,0,2
2018-12-07,2,0,2,0
2018-12-08,2,0,0,3
2018-12-09,2,0,0,0
2018-12-10,0,0,0,0
2018-12-11,0,0,0,0
2018-12-12,2,0,0,0
2018-12-13,0,0,0,0
2018-12-14,2,0,0,2
2018-12-15,3,0,0,0
2018-12-16,4,0,0,2
2018-12-17,4,0,0,0
2018-12-18,3,0,2,0
2018-12-19,4,0,0,0
2018-12-20,3,0,0,0
2018-12-21,2,0,0,0
2018-12-22,3,0,0,2
2018-12-23,2,0,2,0
2018-12-24,3,0,0,0
2018-12-25,2,0,0,0
2018-12-26,3,0,0,2
2018-12-27,0,0,2,0
2018-12-28,2,0,2,0
2018-12-29,2,0,0,0
2018-12-30,3,0,0,3
2018-12-31,0,0,0,0
2019-01-01,0,0,0,0
2019-01-02,2,0,0,0
2019-01-03,2,0,2,0
2019-01-04,2,0,2,3
2019-01-05,3,0,2,3
2019-01-06,3,0,3,3
2019-01-07,10,3,9,4
2019-01-08,3,0,2,2
2019-01-09,3,2,3,2
2019-01-10,2,0,2,0
2019-01-11,2,0,0,0
2019-01-12,3,0,0,2
2019-01-13,5,0,2,0
2019-01-14,5,0,3,2
2019-01-15,4,0,0,0
2019-01-16,0,0,2,0
2019-01-17,0,0,2,0
2019-01-18,3,0,0,2
2019-01-19,3,0,4,2
2019-01-20,3,2,4,0
2019-01-21,3,0,2,0
2019-01-22,100,40,22,35
2019-01-23,59,24,15,21
2019-01-24,28,12,7,12
2019-01-25,23,7,5,9
2019-01-26,27,11,8,9
2019-01-27,28,12,10,11
2019-01-28,19,7,9,8
2019-01-29,10,3,4,5
2019-01-30,8,3,3,3
2019-01-31,9,3,4,4
2019-02-01,8,4,4,4
2019-02-02,12,5,6,7
2019-02-03,15,6,6,7
2019-02-04,7,3,3,5
2019-02-05,6,4,4,3
2019-02-06,5,2,3,3
2019-02-07,5,3,3,4
2019-02-08,6,4,3,5
2019-02-09,8,6,5,8
2019-02-10,12,10,7,6
2019-02-11,10,4,4,5
2019-02-12,8,2,4,3
2019-02-13,7,2,2,5
2019-02-14,6,3,2,3
2019-02-15,5,3,5,5
2019-02-16,13,5,6,7
2019-02-17,15,7,9,8
2019-02-18,13,5,5,8
2019-02-19,11,6,5,5
2019-02-20,10,5,6,6
2019-02-21,11,6,5,6
2019-02-22,20,7,8,9
2019-02-23,37,12,18,19
