类别：所有类别

日,PARASITE oscar: (美国),FORD V FERRARI oscar: (美国),THE IRISHMAN oscar: (美国),JOJO RABBIT oscar: (美国),JOKER oscar: (美国)
2019-11-08,0,0,0,0,0
2019-11-09,0,0,8,0,0
2019-11-10,0,0,0,0,0
2019-11-11,0,0,0,0,0
2019-11-12,0,0,0,0,0
2019-11-13,0,0,0,0,0
2019-11-14,0,0,0,0,0
2019-11-15,0,0,0,0,0
2019-11-16,0,0,0,0,0
2019-11-17,0,0,0,0,0
2019-11-18,0,0,0,0,0
2019-11-19,0,0,0,0,0
2019-11-20,0,0,0,0,0
2019-11-21,0,0,0,0,0
2019-11-22,0,0,0,0,0
2019-11-23,0,0,0,0,0
2019-11-24,0,0,0,0,0
2019-11-25,0,0,0,0,0
2019-11-26,0,0,0,0,0
2019-11-27,0,0,0,0,0
2019-11-28,0,0,0,0,0
2019-11-29,0,0,0,0,0
2019-11-30,0,0,0,0,0
2019-12-01,0,0,0,0,0
2019-12-02,0,0,0,0,0
2019-12-03,0,0,0,0,0
2019-12-04,0,0,0,0,0
2019-12-05,0,0,0,0,0
2019-12-06,0,0,0,0,0
2019-12-07,0,0,0,0,0
2019-12-08,0,0,0,0,0
2019-12-09,0,0,0,0,0
2019-12-10,0,0,0,0,0
2019-12-11,0,0,0,0,0
2019-12-12,0,0,0,0,0
2019-12-13,0,0,0,0,0
2019-12-14,0,0,0,0,0
2019-12-15,0,0,0,0,0
2019-12-16,0,0,0,0,0
2019-12-17,0,0,0,0,0
2019-12-18,0,0,0,0,0
2019-12-19,0,0,0,0,0
2019-12-20,0,0,0,0,0
2019-12-21,0,0,0,0,0
2019-12-22,0,0,0,0,0
2019-12-23,0,0,0,0,0
2019-12-24,0,0,0,0,0
2019-12-25,0,0,0,0,0
2019-12-26,0,0,0,0,0
2019-12-27,0,0,0,0,0
2019-12-28,0,0,0,0,0
2019-12-29,0,0,0,0,0
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,13,0,0,0,26
2020-01-07,10,0,0,0,8
2020-01-08,0,0,0,0,10
2020-01-09,0,0,0,0,8
2020-01-10,8,0,0,0,7
2020-01-11,0,0,0,7,20
2020-01-12,7,0,0,0,0
2020-01-13,100,9,21,83,85
2020-01-14,54,6,12,46,59
2020-01-15,34,0,6,24,24
2020-01-16,13,0,7,22,22
2020-01-17,12,0,10,15,20
2020-01-18,27,0,7,28,26
2020-01-19,31,0,7,27,36
2020-01-20,29,0,0,20,22
2020-01-21,19,0,7,7,11
2020-01-22,13,0,0,0,10
2020-01-23,8,0,0,0,16
2020-01-24,9,0,0,7,8
2020-01-25,26,0,0,20,18
2020-01-26,20,0,10,21,21
2020-01-27,13,0,0,11,9
2020-01-28,9,0,0,7,10
2020-01-29,16,0,0,7,13
2020-01-30,14,0,0,0,0
2020-01-31,10,0,0,9,0
2020-02-01,18,0,0,12,13
2020-02-02,26,0,0,13,15
2020-02-03,13,0,0,0,9
2020-02-04,12,6,0,13,0
2020-02-05,8,0,0,13,7
2020-02-06,17,0,0,9,0
2020-02-07,24,0,0,23,11
2020-02-08,40,0,0,33,25
