类别：所有类别

日,PARASITE oscar: (美国),LITTLE WOMEN oscar: (美国),MARRIAGE STORY oscar: (美国),1917 oscar: (美国),ONCE UPON A TIME IN HOLLYWOOD oscar: (美国)
2019-11-08,0,0,0,0,0
2019-11-09,0,0,0,0,0
2019-11-10,8,0,0,0,0
2019-11-11,0,0,0,0,0
2019-11-12,0,0,0,0,0
2019-11-13,0,0,0,0,0
2019-11-14,0,0,0,0,0
2019-11-15,0,0,0,0,0
2019-11-16,0,0,0,0,0
2019-11-17,0,0,0,0,0
2019-11-18,0,0,0,0,0
2019-11-19,0,0,0,0,0
2019-11-20,0,0,0,0,0
2019-11-21,0,0,0,0,0
2019-11-22,0,0,0,0,0
2019-11-23,0,0,0,0,0
2019-11-24,0,0,0,0,0
2019-11-25,0,0,0,0,0
2019-11-26,0,0,0,0,0
2019-11-27,0,0,0,0,0
2019-11-28,0,0,0,0,0
2019-11-29,0,0,0,0,0
2019-11-30,0,0,0,0,0
2019-12-01,0,0,0,0,0
2019-12-02,0,0,6,0,0
2019-12-03,0,0,0,0,0
2019-12-04,0,0,0,0,0
2019-12-05,0,0,0,0,0
2019-12-06,0,0,0,0,0
2019-12-07,0,0,0,0,0
2019-12-08,0,0,0,0,0
2019-12-09,0,0,0,0,0
2019-12-10,0,0,0,0,0
2019-12-11,0,0,0,0,0
2019-12-12,0,0,0,0,0
2019-12-13,0,0,0,0,0
2019-12-14,0,0,0,0,0
2019-12-15,0,0,0,0,0
2019-12-16,0,0,0,0,0
2019-12-17,0,0,0,0,0
2019-12-18,0,0,0,0,0
2019-12-19,0,0,0,0,0
2019-12-20,0,0,0,0,0
2019-12-21,0,0,0,0,0
2019-12-22,0,0,0,0,0
2019-12-23,0,0,0,0,0
2019-12-24,0,0,0,0,0
2019-12-25,0,0,0,0,0
2019-12-26,0,0,0,0,0
2019-12-27,0,0,0,0,0
2019-12-28,0,8,0,0,0
2019-12-29,0,0,0,0,0
2019-12-30,7,7,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,9,7,0,0,0
2020-01-06,13,6,9,17,7
2020-01-07,0,0,8,6,7
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,9,8
2020-01-11,0,7,0,11,0
2020-01-12,11,0,0,9,8
2020-01-13,100,40,38,59,29
2020-01-14,55,34,27,34,16
2020-01-15,45,21,8,27,0
2020-01-16,18,8,9,10,9
2020-01-17,15,14,10,15,7
2020-01-18,28,20,15,28,18
2020-01-19,29,17,18,29,21
2020-01-20,31,12,7,24,13
2020-01-21,19,8,0,10,0
2020-01-22,14,6,8,9,12
2020-01-23,9,12,0,8,0
2020-01-24,11,8,0,7,9
2020-01-25,23,10,0,22,11
2020-01-26,20,7,9,23,8
2020-01-27,14,0,0,8,0
2020-01-28,11,7,8,0,7
2020-01-29,15,0,0,6,0
2020-01-30,16,0,0,7,0
2020-01-31,13,0,0,9,0
2020-02-01,17,0,0,12,7
2020-02-02,25,12,8,10,8
2020-02-03,12,7,0,6,0
2020-02-04,13,0,0,0,0
2020-02-05,12,0,0,12,0
2020-02-06,14,7,9,12,12
2020-02-07,24,11,11,19,11
2020-02-08,36,14,17,25,18
