类别：所有类别

日,JOJO RABBIT oscar: (全球),LITTLE WOMEN oscar: (全球),MARRIAGE STORY oscar: (全球),1917 oscar: (全球),ONCE UPON A TIME IN HOLLYWOOD oscar: (全球)
2019-11-08,0,0,0,0,0
2019-11-09,0,0,0,0,0
2019-11-10,0,0,0,0,0
2019-11-11,0,0,0,0,0
2019-11-12,0,0,0,0,0
2019-11-13,0,0,0,0,0
2019-11-14,0,0,0,0,0
2019-11-15,0,0,0,0,0
2019-11-16,0,0,0,0,0
2019-11-17,0,0,0,0,0
2019-11-18,0,0,0,0,0
2019-11-19,0,0,0,0,0
2019-11-20,3,0,0,0,0
2019-11-21,0,0,0,0,0
2019-11-22,0,0,0,0,0
2019-11-23,0,0,0,0,0
2019-11-24,0,0,0,0,0
2019-11-25,0,0,0,0,0
2019-11-26,0,0,0,0,0
2019-11-27,0,0,0,0,0
2019-11-28,0,0,0,0,0
2019-11-29,0,0,0,0,0
2019-11-30,0,0,0,0,0
2019-12-01,0,0,0,0,0
2019-12-02,0,0,0,0,0
2019-12-03,0,0,0,0,0
2019-12-04,0,0,0,0,0
2019-12-05,0,0,0,0,0
2019-12-06,0,0,0,0,0
2019-12-07,0,0,6,0,0
2019-12-08,0,0,3,0,0
2019-12-09,0,0,0,0,0
2019-12-10,0,0,0,3,0
2019-12-11,0,0,0,0,0
2019-12-12,0,0,0,0,0
2019-12-13,0,0,0,0,0
2019-12-14,0,0,0,0,0
2019-12-15,0,0,0,0,0
2019-12-16,0,0,0,0,0
2019-12-17,0,0,0,0,0
2019-12-18,0,0,0,0,0
2019-12-19,0,0,0,0,0
2019-12-20,0,0,0,0,0
2019-12-21,0,0,0,0,0
2019-12-22,0,0,0,0,0
2019-12-23,0,0,0,0,0
2019-12-24,0,0,0,0,0
2019-12-25,0,0,0,0,0
2019-12-26,0,3,0,0,0
2019-12-27,0,4,0,0,0
2019-12-28,0,3,0,0,0
2019-12-29,0,4,4,0,0
2019-12-30,0,4,3,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,5,4,4
2020-01-02,0,3,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,4,0,4,3
2020-01-05,4,3,0,4,4
2020-01-06,4,6,5,26,8
2020-01-07,0,0,0,10,3
2020-01-08,0,0,0,4,0
2020-01-09,0,0,0,6,0
2020-01-10,0,0,0,11,0
2020-01-11,5,3,0,12,0
2020-01-12,0,3,0,14,3
2020-01-13,100,45,35,90,28
2020-01-14,57,31,25,57,18
2020-01-15,31,18,10,40,8
2020-01-16,24,9,10,27,6
2020-01-17,19,12,10,28,3
2020-01-18,32,14,11,46,14
2020-01-19,33,14,12,47,16
2020-01-20,19,8,7,32,7
2020-01-21,10,7,5,20,6
2020-01-22,12,7,5,23,7
2020-01-23,11,5,5,19,4
2020-01-24,15,5,4,21,5
2020-01-25,20,10,8,41,8
2020-01-26,28,12,7,41,7
2020-01-27,15,7,7,21,5
2020-01-28,10,4,4,18,3
2020-01-29,9,5,3,17,4
2020-01-30,11,5,3,19,3
2020-01-31,15,6,4,20,4
2020-02-01,16,9,6,27,7
2020-02-02,22,9,7,33,7
2020-02-03,16,6,3,25,4
2020-02-04,14,6,4,19,3
2020-02-05,18,7,3,22,4
2020-02-06,17,7,6,26,9
2020-02-07,20,9,9,31,10
2020-02-08,39,16,15,56,16
