类别：所有类别

日,MANK oscar: (美国),NOMADLAND oscar: (美国),THE FATHER oscar: (美国),JUDAS AND THE BLACK MESSIAH oscar: (美国),MINARI oscar: (美国)
2021-01-24,0,0,0,0,0
2021-01-25,0,0,0,0,0
2021-01-26,0,0,0,0,0
2021-01-27,0,0,0,0,0
2021-01-28,0,0,0,0,0
2021-01-29,0,0,0,0,0
2021-01-30,0,0,0,0,0
2021-01-31,0,0,0,0,0
2021-02-01,0,0,0,0,0
2021-02-02,0,0,0,0,0
2021-02-03,0,0,0,0,0
2021-02-04,0,0,12,0,0
2021-02-05,0,0,0,0,0
2021-02-06,0,0,0,0,0
2021-02-07,0,0,0,0,28
2021-02-08,0,0,0,0,0
2021-02-09,0,0,0,0,0
2021-02-10,0,0,0,0,0
2021-02-11,0,0,0,0,0
2021-02-12,0,0,0,0,0
2021-02-13,0,0,0,0,0
2021-02-14,0,0,0,0,0
2021-02-15,0,0,0,0,0
2021-02-16,0,0,0,0,0
2021-02-17,0,0,0,0,0
2021-02-18,0,0,0,0,0
2021-02-19,0,0,0,0,0
2021-02-20,0,0,0,0,0
2021-02-21,0,15,0,0,0
2021-02-22,0,0,0,0,0
2021-02-23,0,0,0,0,0
2021-02-24,0,0,0,0,0
2021-02-25,0,0,0,0,0
2021-02-26,0,0,0,0,0
2021-02-27,0,0,0,0,0
2021-02-28,0,0,0,0,0
2021-03-01,0,0,0,0,15
2021-03-02,0,0,0,0,0
2021-03-03,0,0,0,0,0
2021-03-04,0,0,0,0,0
2021-03-05,0,0,0,0,0
2021-03-06,0,0,0,0,0
2021-03-07,0,0,0,0,15
2021-03-08,0,0,0,0,0
2021-03-09,0,0,0,0,0
2021-03-10,0,0,0,0,0
2021-03-11,0,0,0,0,0
2021-03-12,0,0,0,0,0
2021-03-13,0,0,0,0,12
2021-03-14,0,0,0,0,0
2021-03-15,100,31,67,43,95
2021-03-16,52,25,41,21,62
2021-03-17,22,15,25,0,34
2021-03-18,24,12,13,0,18
2021-03-19,21,0,11,0,26
2021-03-20,21,24,23,0,40
2021-03-21,16,18,32,17,25
2021-03-22,0,0,0,0,15
2021-03-23,0,0,0,0,14
2021-03-24,0,12,12,0,0
2021-03-25,13,0,0,0,0
2021-03-26,13,0,0,0,0
2021-03-27,17,0,16,0,30
2021-03-28,14,0,14,0,20
2021-03-29,0,0,0,0,12
2021-03-30,0,0,0,0,20
2021-03-31,0,0,0,0,0
2021-04-01,0,0,0,0,0
2021-04-02,0,0,13,0,17
2021-04-03,13,0,13,0,25
2021-04-04,0,0,13,0,18
2021-04-05,0,0,0,0,0
2021-04-06,0,0,0,0,0
2021-04-07,0,0,0,0,0
2021-04-08,0,0,0,0,0
2021-04-09,0,0,0,12,0
2021-04-10,0,0,0,0,21
2021-04-11,0,0,19,0,18
2021-04-12,0,0,0,0,0
2021-04-13,0,0,0,0,0
2021-04-14,0,0,0,0,0
2021-04-15,0,0,0,0,0
2021-04-16,0,0,0,0,0
2021-04-17,0,0,15,16,15
2021-04-18,0,13,19,0,19
2021-04-19,12,15,12,0,18
2021-04-20,0,0,0,0,0
2021-04-21,0,12,0,0,17
2021-04-22,14,15,0,0,15
2021-04-23,17,15,12,0,33
2021-04-24,27,44,46,16,58
