类别：所有类别

日,MANK oscar: (全球),NOMADLAND oscar: (全球),THE FATHER oscar: (全球),JUDAS AND THE BLACK MESSIAH oscar: (全球),MINARI oscar: (全球)
2021-01-24,0,0,0,0,0
2021-01-25,0,0,0,0,0
2021-01-26,0,0,0,0,0
2021-01-27,0,0,0,0,0
2021-01-28,0,0,0,0,0
2021-01-29,0,0,4,0,0
2021-01-30,0,5,0,0,0
2021-01-31,0,0,0,0,0
2021-02-01,0,0,0,0,0
2021-02-02,0,0,0,0,0
2021-02-03,0,4,0,0,0
2021-02-04,5,0,0,0,0
2021-02-05,0,0,0,0,0
2021-02-06,0,0,0,0,0
2021-02-07,0,0,0,0,0
2021-02-08,0,0,0,0,0
2021-02-09,0,0,0,0,0
2021-02-10,0,0,0,0,0
2021-02-11,0,0,0,0,0
2021-02-12,0,0,0,0,0
2021-02-13,0,0,0,0,6
2021-02-14,0,0,0,0,0
2021-02-15,0,0,0,0,0
2021-02-16,0,0,0,0,0
2021-02-17,0,0,0,0,0
2021-02-18,0,0,0,0,0
2021-02-19,0,4,0,0,0
2021-02-20,0,5,0,0,0
2021-02-21,0,8,0,0,0
2021-02-22,0,0,0,0,0
2021-02-23,0,0,0,0,0
2021-02-24,0,0,0,0,0
2021-02-25,0,4,0,0,0
2021-02-26,0,0,0,0,0
2021-02-27,0,0,0,0,0
2021-02-28,0,5,0,0,0
2021-03-01,0,11,0,0,5
2021-03-02,0,5,0,0,0
2021-03-03,0,0,0,0,0
2021-03-04,0,0,0,0,0
2021-03-05,0,0,0,0,0
2021-03-06,0,4,0,0,0
2021-03-07,0,0,0,0,5
2021-03-08,0,0,0,0,0
2021-03-09,0,0,5,0,0
2021-03-10,0,0,0,0,0
2021-03-11,0,0,0,0,0
2021-03-12,0,4,4,0,0
2021-03-13,0,6,0,0,0
2021-03-14,0,8,0,4,5
2021-03-15,100,48,60,35,80
2021-03-16,60,36,38,20,55
2021-03-17,24,16,20,6,24
2021-03-18,19,11,10,7,16
2021-03-19,24,11,15,8,22
2021-03-20,28,24,18,12,30
2021-03-21,22,22,19,7,24
2021-03-22,9,10,10,0,12
2021-03-23,7,10,8,0,11
2021-03-24,7,12,8,4,10
2021-03-25,8,5,6,0,6
2021-03-26,9,8,8,4,9
2021-03-27,17,13,16,12,24
2021-03-28,14,17,10,6,19
2021-03-29,0,8,10,7,11
2021-03-30,9,8,6,0,9
2021-03-31,6,8,5,0,8
2021-04-01,6,6,8,6,8
2021-04-02,8,12,12,6,13
2021-04-03,9,12,11,7,15
2021-04-04,14,13,14,7,19
2021-04-05,11,8,8,5,9
2021-04-06,6,5,6,0,5
2021-04-07,0,0,4,0,4
2021-04-08,6,6,6,0,5
2021-04-09,7,7,8,5,7
2021-04-10,11,14,9,7,13
2021-04-11,10,17,13,5,16
2021-04-12,7,9,9,0,8
2021-04-13,7,6,7,0,4
2021-04-14,7,7,6,0,6
2021-04-15,8,8,7,0,6
2021-04-16,5,8,7,0,8
2021-04-17,10,17,15,6,16
2021-04-18,17,16,12,11,19
2021-04-19,8,10,10,0,10
2021-04-20,11,16,10,5,12
2021-04-21,12,15,15,6,12
2021-04-22,12,17,20,5,14
2021-04-23,23,27,16,11,23
2021-04-24,39,65,33,21,51
