类别：所有类别

日,MANK oscar: (全球),PROMISING YOUNG WOMAN oscar: (全球),SOUND OF METAL oscar: (全球),THE TRIAL OF THE CHICAGO 7 oscar: (全球)
2021-01-24,0,0,0,0
2021-01-25,0,0,0,0
2021-01-26,0,0,0,0
2021-01-27,0,0,0,0
2021-01-28,0,0,0,0
2021-01-29,0,0,0,0
2021-01-30,0,0,0,0
2021-01-31,0,0,5,0
2021-02-01,0,0,0,0
2021-02-02,0,0,0,0
2021-02-03,0,4,0,0
2021-02-04,0,0,0,0
2021-02-05,0,5,0,0
2021-02-06,0,0,0,0
2021-02-07,0,0,0,0
2021-02-08,0,0,0,0
2021-02-09,0,0,0,0
2021-02-10,5,0,0,0
2021-02-11,0,0,0,0
2021-02-12,0,0,0,0
2021-02-13,0,0,5,0
2021-02-14,0,0,0,0
2021-02-15,0,0,0,0
2021-02-16,0,0,0,5
2021-02-17,0,0,0,0
2021-02-18,0,0,0,0
2021-02-19,0,0,0,0
2021-02-20,0,0,0,0
2021-02-21,0,0,0,0
2021-02-22,0,0,0,0
2021-02-23,0,0,0,0
2021-02-24,0,0,0,0
2021-02-25,0,0,0,0
2021-02-26,0,0,0,0
2021-02-27,0,0,0,0
2021-02-28,0,0,0,0
2021-03-01,0,0,0,0
2021-03-02,0,0,0,0
2021-03-03,0,0,0,0
2021-03-04,0,0,0,0
2021-03-05,0,0,0,0
2021-03-06,0,0,0,0
2021-03-07,0,0,0,0
2021-03-08,0,0,0,0
2021-03-09,0,0,0,0
2021-03-10,0,0,0,0
2021-03-11,0,0,0,0
2021-03-12,0,0,0,0
2021-03-13,0,0,0,0
2021-03-14,0,5,0,0
2021-03-15,100,36,51,15
2021-03-16,64,31,40,12
2021-03-17,23,15,15,6
2021-03-18,21,12,10,4
2021-03-19,21,14,11,4
2021-03-20,28,18,17,6
2021-03-21,24,17,19,0
2021-03-22,9,8,12,0
2021-03-23,7,5,7,0
2021-03-24,11,10,7,0
2021-03-25,10,6,4,0
2021-03-26,11,5,6,0
2021-03-27,16,11,17,0
2021-03-28,16,10,14,0
2021-03-29,5,0,6,0
2021-03-30,10,5,7,0
2021-03-31,6,7,0,0
2021-04-01,6,6,5,0
2021-04-02,10,8,6,5
2021-04-03,9,10,9,5
2021-04-04,13,11,12,8
2021-04-05,10,8,4,0
2021-04-06,6,0,5,0
2021-04-07,0,5,4,0
2021-04-08,6,5,0,0
2021-04-09,5,4,0,0
2021-04-10,11,8,11,0
2021-04-11,11,9,10,0
2021-04-12,6,5,5,0
2021-04-13,6,0,4,0
2021-04-14,7,7,0,0
2021-04-15,7,7,5,0
2021-04-16,6,8,6,0
2021-04-17,12,11,11,0
2021-04-18,17,22,13,6
2021-04-19,10,8,9,0
2021-04-20,12,10,7,0
2021-04-21,11,8,9,0
2021-04-22,13,13,10,6
2021-04-23,22,15,15,4
2021-04-24,43,29,29,8
