Category: All categories

Day,coda oscar: (United States),belfast oscar: (United States),dont look up oscar: (United States),drive my car oscar: (United States),dune oscar: (United States)
2021-12-26,0,0,0,0,0
2021-12-27,0,0,0,0,0
2021-12-28,0,0,0,0,0
2021-12-29,0,0,0,0,0
2021-12-30,0,0,0,0,0
2021-12-31,0,0,0,0,0
2022-01-01,0,0,0,0,0
2022-01-02,0,0,0,0,0
2022-01-03,0,0,0,0,0
2022-01-04,0,0,0,0,0
2022-01-05,0,0,0,0,0
2022-01-06,0,0,0,0,0
2022-01-07,0,0,0,0,0
2022-01-08,0,0,0,0,0
2022-01-09,0,0,0,0,0
2022-01-10,0,0,0,0,0
2022-01-11,0,0,0,0,0
2022-01-12,0,0,0,0,0
2022-01-13,0,0,0,0,0
2022-01-14,0,0,0,0,0
2022-01-15,0,0,0,0,0
2022-01-16,0,0,0,0,0
2022-01-17,7,0,0,0,0
2022-01-18,0,0,0,0,0
2022-01-19,0,0,0,0,0
2022-01-20,0,0,0,0,6
2022-01-21,0,0,0,0,0
2022-01-22,0,0,0,0,0
2022-01-23,0,0,0,0,0
2022-01-24,0,0,0,0,0
2022-01-25,0,0,0,0,0
2022-01-26,0,0,0,0,0
2022-01-27,0,0,0,0,0
2022-01-28,0,0,0,0,0
2022-01-29,0,0,0,0,0
2022-01-30,0,8,0,0,0
2022-01-31,0,0,0,0,0
2022-02-01,0,7,0,0,0
2022-02-02,0,0,0,0,0
2022-02-03,0,0,0,0,0
2022-02-04,0,0,0,0,0
2022-02-05,0,0,0,0,0
2022-02-06,0,0,0,0,0
2022-02-07,0,0,0,0,0
2022-02-08,95,88,7,100,46
2022-02-09,60,60,0,53,31
2022-02-10,22,13,0,14,8
2022-02-11,13,17,0,13,9
2022-02-12,22,21,0,18,16
2022-02-13,27,25,0,19,15
2022-02-14,10,9,0,8,8
2022-02-15,11,11,0,11,7
2022-02-16,7,10,0,14,6
2022-02-17,12,7,0,5,0
2022-02-18,8,8,0,5,5
2022-02-19,11,10,0,0,0
2022-02-20,15,14,0,10,11
2022-02-21,9,10,0,7,7
2022-02-22,0,10,0,5,0
2022-02-23,7,0,0,0,6
2022-02-24,5,0,0,0,0
2022-02-25,0,6,0,0,0
2022-02-26,8,8,0,6,6
2022-02-27,12,10,0,8,7
2022-02-28,12,6,0,0,0
2022-03-01,8,0,0,5,0
2022-03-02,5,5,0,0,0
2022-03-03,7,0,0,0,0
2022-03-04,0,0,0,9,0
2022-03-05,10,8,0,6,5
2022-03-06,13,18,0,10,10
2022-03-07,9,8,0,6,6
2022-03-08,0,0,0,0,0
2022-03-09,0,0,0,0,0
2022-03-10,0,0,0,0,6
2022-03-11,7,10,0,0,0
2022-03-12,8,9,0,8,7
2022-03-13,13,14,0,9,15
2022-03-14,9,0,0,6,8
2022-03-15,5,0,0,0,0
2022-03-16,0,0,0,0,0
2022-03-17,5,0,0,7,5
2022-03-18,9,7,0,0,0
2022-03-19,14,13,0,7,0
2022-03-20,18,16,0,11,11
2022-03-21,9,7,0,6,8
2022-03-22,15,7,0,7,0
2022-03-23,11,5,0,7,7
2022-03-24,15,7,0,9,5
2022-03-25,22,12,0,12,9
2022-03-26,47,23,0,18,18
