Category: All categories

Day,THE POWER OF THE DOG oscar: (Worldwide),CODA oscar: (Worldwide),BELFAST oscar: (Worldwide),DONT LOOK UP oscar: (Worldwide),DRIVE MY CAR oscar: (Worldwide)
2021-12-26,0,0,0,0,0
2021-12-27,0,0,0,3,0
2021-12-28,0,0,0,0,0
2021-12-29,0,0,0,0,0
2021-12-30,0,0,0,0,0
2021-12-31,0,0,0,0,0
2022-01-01,3,0,3,0,0
2022-01-02,4,0,3,0,0
2022-01-03,3,0,3,0,0
2022-01-04,0,0,0,0,0
2022-01-05,0,0,0,0,0
2022-01-06,0,0,0,0,0
2022-01-07,2,0,0,0,0
2022-01-08,0,0,3,0,0
2022-01-09,3,0,5,0,0
2022-01-10,3,0,0,0,0
2022-01-11,2,0,0,0,0
2022-01-12,3,0,3,0,0
2022-01-13,0,0,0,0,0
2022-01-14,0,0,0,0,0
2022-01-15,3,3,3,0,0
2022-01-16,0,0,0,0,0
2022-01-17,3,0,2,0,2
2022-01-18,2,0,0,0,0
2022-01-19,0,0,0,0,0
2022-01-20,0,0,0,0,0
2022-01-21,0,0,2,0,0
2022-01-22,2,0,3,0,0
2022-01-23,0,0,2,0,0
2022-01-24,0,0,2,0,2
2022-01-25,0,2,2,0,0
2022-01-26,0,3,0,0,0
2022-01-27,0,0,0,0,2
2022-01-28,0,0,3,0,0
2022-01-29,3,0,4,0,0
2022-01-30,0,3,5,0,0
2022-01-31,0,3,0,0,0
2022-02-01,0,0,0,0,0
2022-02-02,0,0,2,0,0
2022-02-03,0,0,0,0,0
2022-02-04,3,0,0,0,0
2022-02-05,0,0,4,0,0
2022-02-06,0,2,5,0,0
2022-02-07,0,0,0,0,2
2022-02-08,100,61,80,4,75
2022-02-09,81,47,51,3,43
2022-02-10,28,14,20,0,14
2022-02-11,27,14,18,0,16
2022-02-12,29,17,23,3,18
2022-02-13,32,20,24,0,20
2022-02-14,11,8,10,0,8
2022-02-15,7,7,8,0,7
2022-02-16,8,8,8,0,8
2022-02-17,8,6,6,0,6
2022-02-18,10,6,6,0,7
2022-02-19,14,11,10,0,7
2022-02-20,14,13,14,0,10
2022-02-21,8,7,9,0,7
2022-02-22,6,4,6,0,3
2022-02-23,5,5,6,0,6
2022-02-24,4,4,5,0,3
2022-02-25,4,4,4,0,4
2022-02-26,8,6,10,0,5
2022-02-27,9,8,9,0,7
2022-02-28,3,11,6,0,4
2022-03-01,3,5,6,0,4
2022-03-02,3,5,4,0,5
2022-03-03,2,5,5,0,2
2022-03-04,3,4,6,0,5
2022-03-05,5,7,8,0,5
2022-03-06,7,8,11,0,7
2022-03-07,4,6,7,0,5
2022-03-08,3,3,4,0,3
2022-03-09,0,2,3,0,3
2022-03-10,4,2,5,0,2
2022-03-11,3,4,4,0,3
2022-03-12,6,6,9,0,7
2022-03-13,8,9,13,0,6
2022-03-14,6,6,7,0,4
2022-03-15,4,3,5,0,4
2022-03-16,2,3,5,0,4
2022-03-17,4,3,3,0,4
2022-03-18,5,6,5,0,4
2022-03-19,8,8,10,0,8
2022-03-20,9,9,12,0,8
2022-03-21,6,7,7,0,7
2022-03-22,5,10,8,0,7
2022-03-23,7,10,9,0,9
2022-03-24,9,11,9,0,7
2022-03-25,11,18,12,0,8
2022-03-26,22,35,21,3,16
