Category: All categories

Day,THE POWER OF THE DOG oscar: (Worldwide),DUNE oscar: (Worldwide),KING RICHARD oscar: (Worldwide),LICORICE PIZZA oscar: (Worldwide),NIGHTMARE ALLEY oscar: (Worldwide)
2021-12-26,0,4,3,0,0
2021-12-27,0,0,0,0,0
2021-12-28,0,0,0,0,0
2021-12-29,0,3,0,0,0
2021-12-30,0,0,0,3,0
2021-12-31,0,4,0,0,0
2022-01-01,3,4,0,0,0
2022-01-02,3,5,0,0,0
2022-01-03,0,3,0,0,0
2022-01-04,5,0,0,0,0
2022-01-05,0,0,0,0,0
2022-01-06,0,0,0,0,0
2022-01-07,0,4,0,0,0
2022-01-08,0,3,0,3,0
2022-01-09,0,6,0,4,0
2022-01-10,0,0,3,0,0
2022-01-11,2,2,0,2,0
2022-01-12,0,0,0,0,0
2022-01-13,0,4,0,5,0
2022-01-14,2,2,0,0,0
2022-01-15,2,4,0,0,0
2022-01-16,4,4,0,0,0
2022-01-17,2,2,0,0,0
2022-01-18,2,5,0,0,0
2022-01-19,0,4,0,0,0
2022-01-20,0,4,0,0,0
2022-01-21,0,2,0,0,0
2022-01-22,3,4,0,0,0
2022-01-23,3,0,0,0,0
2022-01-24,0,0,2,0,0
2022-01-25,2,0,0,0,0
2022-01-26,0,0,0,0,0
2022-01-27,0,0,0,0,0
2022-01-28,0,3,0,0,0
2022-01-29,2,5,4,3,0
2022-01-30,2,3,0,0,0
2022-01-31,0,2,0,0,0
2022-02-01,4,0,0,0,0
2022-02-02,2,2,0,0,0
2022-02-03,2,3,0,0,0
2022-02-04,2,0,0,0,0
2022-02-05,0,3,0,0,0
2022-02-06,0,3,0,0,0
2022-02-07,0,0,0,2,0
2022-02-08,100,44,37,47,34
2022-02-09,83,30,27,31,25
2022-02-10,25,11,9,11,11
2022-02-11,26,13,8,16,11
2022-02-12,29,15,9,18,17
2022-02-13,31,14,12,21,16
2022-02-14,12,10,5,8,8
2022-02-15,8,7,4,6,5
2022-02-16,9,5,3,7,6
2022-02-17,8,4,3,4,3
2022-02-18,11,5,4,10,4
2022-02-19,14,8,5,12,9
2022-02-20,13,8,8,15,7
2022-02-21,9,6,4,7,5
2022-02-22,7,3,3,6,2
2022-02-23,5,3,3,5,3
2022-02-24,3,3,2,4,2
2022-02-25,4,3,2,4,3
2022-02-26,8,4,4,10,6
2022-02-27,8,6,3,10,6
2022-02-28,5,3,3,6,3
2022-03-01,3,3,2,4,2
2022-03-02,3,0,3,3,2
2022-03-03,3,2,0,3,3
2022-03-04,4,3,3,3,2
2022-03-05,6,5,4,6,3
2022-03-06,7,6,4,7,4
2022-03-07,5,3,2,4,4
2022-03-08,3,3,2,0,0
2022-03-09,0,3,2,3,0
2022-03-10,3,4,3,2,0
2022-03-11,3,3,2,4,2
2022-03-12,6,6,5,6,3
2022-03-13,8,10,5,8,3
2022-03-14,7,6,5,6,3
2022-03-15,4,5,2,4,2
2022-03-16,3,3,2,3,2
2022-03-17,4,3,3,4,3
2022-03-18,5,4,4,5,3
2022-03-19,8,6,5,9,5
2022-03-20,9,8,5,10,8
2022-03-21,5,5,2,5,4
2022-03-22,6,4,3,7,4
2022-03-23,7,5,5,7,4
2022-03-24,8,6,5,6,4
2022-03-25,11,11,6,8,6
2022-03-26,22,17,13,18,12
