Category: All categories

Day,EVERYTHING EVERYWHERE ALL AT ONCE oscar: (United States),ALL QUIET ON THE WESTERN FRONT oscar: (United States),AVATAR  THE WAY OF WATER oscar: (United States),THE BANSHEES OF INISHERIN oscar: (United States),ELVIS oscar: (United States)
2022-12-11,0,0,0,0,0
2022-12-12,0,0,0,0,0
2022-12-13,0,0,0,0,0
2022-12-14,0,0,0,0,0
2022-12-15,0,0,0,0,0
2022-12-16,0,0,0,0,0
2022-12-17,0,0,0,0,0
2022-12-18,0,0,0,0,0
2022-12-19,0,0,0,0,0
2022-12-20,0,0,0,0,0
2022-12-21,0,0,0,0,0
2022-12-22,0,0,0,0,0
2022-12-23,0,0,0,0,0
2022-12-24,5,0,0,0,0
2022-12-25,0,0,0,0,0
2022-12-26,0,0,0,0,0
2022-12-27,0,0,0,0,0
2022-12-28,0,0,0,0,0
2022-12-29,0,0,0,0,0
2022-12-30,4,0,0,0,0
2022-12-31,0,0,0,0,0
2023-01-01,0,0,0,0,0
2023-01-02,0,0,0,0,0
2023-01-03,0,0,0,0,0
2023-01-04,0,0,0,0,0
2023-01-05,0,0,0,0,0
2023-01-06,0,0,0,0,0
2023-01-07,0,0,0,0,0
2023-01-08,4,0,0,0,0
2023-01-09,0,0,0,0,0
2023-01-10,0,0,0,0,0
2023-01-11,9,0,0,0,0
2023-01-12,0,0,0,0,4
2023-01-13,0,0,0,0,0
2023-01-14,0,0,0,0,0
2023-01-15,6,0,0,0,0
2023-01-16,5,0,0,0,0
2023-01-17,0,0,0,0,0
2023-01-18,0,0,4,0,0
2023-01-19,0,0,0,0,0
2023-01-20,0,0,0,0,0
2023-01-21,0,0,0,9,0
2023-01-22,4,0,0,0,0
2023-01-23,0,0,0,0,0
2023-01-24,100,46,0,31,20
2023-01-25,60,27,0,19,8
2023-01-26,25,12,0,8,7
2023-01-27,21,10,0,6,4
2023-01-28,36,12,0,14,8
2023-01-29,30,10,0,12,13
2023-01-30,13,6,0,6,0
2023-01-31,7,4,0,6,0
2023-02-01,6,4,0,0,0
2023-02-02,6,0,0,0,0
2023-02-03,7,4,0,6,5
2023-02-04,16,6,0,8,5
2023-02-05,17,7,0,6,6
2023-02-06,6,0,0,0,0
2023-02-07,5,3,0,0,0
2023-02-08,0,0,0,0,0
2023-02-09,0,0,0,0,0
2023-02-10,0,0,0,0,0
2023-02-11,9,0,0,5,0
2023-02-12,10,0,0,0,0
2023-02-13,0,0,0,0,0
2023-02-14,0,0,0,0,0
2023-02-15,0,0,0,0,0
2023-02-16,0,0,0,0,0
2023-02-17,4,0,0,0,0
2023-02-18,9,0,0,6,5
2023-02-19,7,6,0,0,0
2023-02-20,6,5,0,0,0
2023-02-21,0,0,0,0,0
2023-02-22,0,0,0,0,0
2023-02-23,4,0,0,0,0
2023-02-24,0,0,0,0,0
2023-02-25,5,0,0,0,0
2023-02-26,11,0,0,0,0
2023-02-27,6,5,0,0,0
2023-02-28,8,0,0,0,0
2023-03-01,0,0,0,0,5
2023-03-02,5,0,0,0,0
2023-03-03,9,0,0,0,0
2023-03-04,11,0,0,4,4
2023-03-05,16,5,0,0,0
2023-03-06,10,4,0,5,4
2023-03-07,5,0,0,0,0
2023-03-08,7,0,0,0,4
2023-03-09,10,4,0,0,0
2023-03-10,20,6,0,5,4
2023-03-11,42,13,4,8,12
