Category: All categories

Day,EVERYTHING EVERYWHERE ALL AT ONCE oscar: (United States),THE FABELMANS oscar: (United States),TÁR oscar: (United States),TOP GUN  MAVERICK oscar: (United States),TRIANGLE OF SADNESS oscar: (United States)
2022-12-11,0,0,0,0,0
2022-12-12,0,0,0,0,0
2022-12-13,0,0,0,0,0
2022-12-14,0,0,0,0,0
2022-12-15,0,0,0,0,0
2022-12-16,0,0,0,0,0
2022-12-17,0,0,0,0,0
2022-12-18,0,0,0,0,0
2022-12-19,0,0,0,0,0
2022-12-20,0,0,0,0,0
2022-12-21,0,0,0,0,0
2022-12-22,0,0,0,0,0
2022-12-23,0,0,0,0,0
2022-12-24,0,0,0,0,0
2022-12-25,5,0,0,0,0
2022-12-26,5,0,0,0,0
2022-12-27,0,0,0,0,0
2022-12-28,0,0,0,0,0
2022-12-29,0,0,0,0,0
2022-12-30,0,0,0,0,0
2022-12-31,0,0,0,0,0
2023-01-01,0,0,0,0,0
2023-01-02,0,0,0,0,0
2023-01-03,0,0,0,0,0
2023-01-04,0,0,0,0,0
2023-01-05,0,0,0,0,0
2023-01-06,0,0,0,0,0
2023-01-07,5,0,0,0,0
2023-01-08,0,0,0,0,0
2023-01-09,0,0,0,0,0
2023-01-10,0,0,0,0,0
2023-01-11,5,0,0,0,0
2023-01-12,5,0,0,0,0
2023-01-13,0,0,0,0,0
2023-01-14,0,0,0,0,0
2023-01-15,0,0,0,0,0
2023-01-16,5,0,0,0,0
2023-01-17,0,3,0,0,0
2023-01-18,0,0,0,0,0
2023-01-19,0,0,0,0,0
2023-01-20,0,0,0,0,0
2023-01-21,4,0,0,0,0
2023-01-22,5,5,0,0,0
2023-01-23,0,0,0,0,0
2023-01-24,100,31,4,10,46
2023-01-25,63,18,3,6,24
2023-01-26,25,9,0,0,10
2023-01-27,21,6,0,0,8
2023-01-28,36,11,0,0,11
2023-01-29,28,11,0,0,12
2023-01-30,13,0,0,0,7
2023-01-31,9,4,0,0,7
2023-02-01,7,4,0,0,5
2023-02-02,6,0,0,0,0
2023-02-03,11,5,0,0,5
2023-02-04,13,9,0,0,11
2023-02-05,16,10,0,0,8
2023-02-06,7,0,0,0,4
2023-02-07,4,0,0,0,4
2023-02-08,0,4,0,0,0
2023-02-09,4,0,0,0,0
2023-02-10,0,0,0,0,0
2023-02-11,9,5,0,0,5
2023-02-12,9,8,0,4,5
2023-02-13,0,0,0,0,0
2023-02-14,0,4,0,0,0
2023-02-15,4,0,0,0,0
2023-02-16,0,0,0,0,0
2023-02-17,0,0,0,0,0
2023-02-18,7,0,0,0,7
2023-02-19,8,8,0,0,4
2023-02-20,5,4,0,0,6
2023-02-21,0,0,0,0,0
2023-02-22,0,0,0,0,3
2023-02-23,0,4,0,0,0
2023-02-24,0,0,0,0,0
2023-02-25,6,0,0,0,6
2023-02-26,12,5,0,0,12
2023-02-27,5,4,0,0,0
2023-02-28,7,4,0,0,0
2023-03-01,5,0,0,0,0
2023-03-02,5,0,0,0,3
2023-03-03,9,5,5,0,0
2023-03-04,13,0,0,0,10
2023-03-05,13,11,0,0,13
2023-03-06,8,0,0,0,4
2023-03-07,6,0,0,0,0
2023-03-08,8,3,0,0,4
2023-03-09,9,4,0,0,6
2023-03-10,18,4,0,4,9
2023-03-11,44,16,0,4,20
