Category: All categories

Day,EVERYTHING EVERYWHERE ALL AT ONCE oscar: (United States),WOMEN TALKING oscar: (United States)
2022-12-11,0,0
2022-12-12,0,0
2022-12-13,0,0
2022-12-14,0,0
2022-12-15,0,0
2022-12-16,0,0
2022-12-17,0,0
2022-12-18,0,0
2022-12-19,0,0
2022-12-20,0,0
2022-12-21,0,0
2022-12-22,0,0
2022-12-23,0,0
2022-12-24,0,0
2022-12-25,0,0
2022-12-26,6,0
2022-12-27,0,0
2022-12-28,0,0
2022-12-29,0,0
2022-12-30,0,0
2022-12-31,0,0
2023-01-01,0,0
2023-01-02,0,0
2023-01-03,4,0
2023-01-04,0,0
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,0,0
2023-01-08,4,0
2023-01-09,3,0
2023-01-10,0,0
2023-01-11,7,0
2023-01-12,5,0
2023-01-13,5,0
2023-01-14,0,0
2023-01-15,0,0
2023-01-16,5,0
2023-01-17,0,0
2023-01-18,0,0
2023-01-19,4,0
2023-01-20,0,0
2023-01-21,0,0
2023-01-22,5,0
2023-01-23,4,0
2023-01-24,100,39
2023-01-25,62,21
2023-01-26,24,13
2023-01-27,22,8
2023-01-28,37,18
2023-01-29,29,14
2023-01-30,12,10
2023-01-31,8,5
2023-02-01,7,6
2023-02-02,5,5
2023-02-03,7,0
2023-02-04,15,10
2023-02-05,17,11
2023-02-06,7,0
2023-02-07,5,0
2023-02-08,0,4
2023-02-09,0,4
2023-02-10,6,0
2023-02-11,7,0
2023-02-12,9,6
2023-02-13,0,0
2023-02-14,4,0
2023-02-15,4,0
2023-02-16,5,0
2023-02-17,0,0
2023-02-18,7,0
2023-02-19,8,5
2023-02-20,6,0
2023-02-21,5,0
2023-02-22,0,4
2023-02-23,0,0
2023-02-24,0,0
2023-02-25,6,0
2023-02-26,11,8
2023-02-27,8,6
2023-02-28,8,4
2023-03-01,5,0
2023-03-02,4,4
2023-03-03,7,0
2023-03-04,11,11
2023-03-05,13,12
2023-03-06,10,0
2023-03-07,6,6
2023-03-08,7,8
2023-03-09,8,10
2023-03-10,20,9
2023-03-11,43,24
