Category: All categories

Day,EVERYTHING EVERYWHERE ALL AT ONCE oscar: (Worldwide),THE FABELMANS oscar: (Worldwide),TÁR oscar: (Worldwide),TOP GUN  MAVERICK oscar: (Worldwide),TRIANGLE OF SADNESS oscar: (Worldwide)
2022-12-11,0,0,0,0,0
2022-12-12,0,0,0,0,0
2022-12-13,0,2,0,0,0
2022-12-14,2,0,0,0,0
2022-12-15,0,0,0,0,0
2022-12-16,0,0,0,0,0
2022-12-17,0,2,0,0,0
2022-12-18,2,0,0,0,0
2022-12-19,0,0,0,0,0
2022-12-20,0,0,0,0,0
2022-12-21,0,0,0,0,0
2022-12-22,3,0,0,0,0
2022-12-23,0,0,0,0,0
2022-12-24,0,0,0,0,0
2022-12-25,0,0,0,0,0
2022-12-26,2,0,0,0,2
2022-12-27,2,0,0,0,0
2022-12-28,0,0,0,0,0
2022-12-29,0,0,0,0,0
2022-12-30,3,2,0,0,0
2022-12-31,3,0,0,0,0
2023-01-01,0,0,0,0,0
2023-01-02,4,2,0,0,0
2023-01-03,0,0,0,0,0
2023-01-04,0,0,0,0,0
2023-01-05,0,2,0,0,0
2023-01-06,0,0,0,0,0
2023-01-07,3,2,0,0,0
2023-01-08,4,2,0,0,0
2023-01-09,0,0,0,2,0
2023-01-10,0,0,0,0,0
2023-01-11,6,8,0,0,0
2023-01-12,6,3,0,0,0
2023-01-13,3,2,0,0,0
2023-01-14,3,0,0,0,0
2023-01-15,4,2,0,0,0
2023-01-16,4,2,0,0,0
2023-01-17,3,0,0,0,0
2023-01-18,3,0,0,0,0
2023-01-19,2,0,0,0,2
2023-01-20,3,0,0,0,0
2023-01-21,4,0,0,0,0
2023-01-22,5,4,0,0,3
2023-01-23,3,3,0,0,0
2023-01-24,100,32,14,11,39
2023-01-25,67,22,10,9,25
2023-01-26,28,11,4,5,10
2023-01-27,23,9,3,3,10
2023-01-28,36,13,3,4,13
2023-01-29,27,11,6,3,13
2023-01-30,14,5,3,0,7
2023-01-31,10,5,0,0,5
2023-02-01,9,5,0,2,5
2023-02-02,7,4,3,0,5
2023-02-03,11,5,0,0,6
2023-02-04,15,7,2,0,9
2023-02-05,17,8,2,3,9
2023-02-06,8,3,0,3,4
2023-02-07,5,0,0,0,2
2023-02-08,4,2,0,0,3
2023-02-09,6,3,0,0,3
2023-02-10,5,3,0,0,2
2023-02-11,7,4,0,2,4
2023-02-12,9,5,0,3,3
2023-02-13,4,0,0,0,2
2023-02-14,3,2,0,0,3
2023-02-15,5,0,0,0,2
2023-02-16,4,3,0,0,2
2023-02-17,5,2,2,2,3
2023-02-18,6,5,0,2,6
2023-02-19,7,6,2,2,5
2023-02-20,5,4,0,0,4
2023-02-21,5,3,0,0,2
2023-02-22,3,0,0,0,3
2023-02-23,3,3,0,2,2
2023-02-24,5,3,0,0,3
2023-02-25,8,4,0,0,6
2023-02-26,12,6,0,3,7
2023-02-27,10,5,0,3,0
2023-02-28,8,3,0,2,3
2023-03-01,5,2,0,0,3
2023-03-02,6,3,2,0,4
2023-03-03,7,3,0,0,4
2023-03-04,14,6,2,0,8
2023-03-05,14,8,2,4,9
2023-03-06,9,2,0,0,5
2023-03-07,7,3,0,2,4
2023-03-08,8,4,2,4,4
2023-03-09,11,5,2,4,4
2023-03-10,21,6,3,4,7
2023-03-11,37,14,4,5,15
