Category: All categories

Day,EVERYTHING EVERYWHERE ALL AT ONCE oscar: (Worldwide),WOMEN TALKING oscar: (Worldwide)
2022-12-11,0,0
2022-12-12,0,0
2022-12-13,0,0
2022-12-14,2,0
2022-12-15,0,0
2022-12-16,0,0
2022-12-17,0,0
2022-12-18,2,0
2022-12-19,0,0
2022-12-20,0,0
2022-12-21,0,0
2022-12-22,3,0
2022-12-23,0,0
2022-12-24,0,0
2022-12-25,0,0
2022-12-26,2,0
2022-12-27,2,0
2022-12-28,0,0
2022-12-29,0,0
2022-12-30,3,0
2022-12-31,3,0
2023-01-01,0,0
2023-01-02,4,0
2023-01-03,0,0
2023-01-04,0,2
2023-01-05,0,0
2023-01-06,0,0
2023-01-07,3,0
2023-01-08,4,0
2023-01-09,0,0
2023-01-10,0,0
2023-01-11,6,0
2023-01-12,6,0
2023-01-13,3,0
2023-01-14,3,0
2023-01-15,4,0
2023-01-16,4,0
2023-01-17,3,0
2023-01-18,3,0
2023-01-19,2,0
2023-01-20,3,0
2023-01-21,4,0
2023-01-22,5,0
2023-01-23,3,0
2023-01-24,100,38
2023-01-25,67,23
2023-01-26,28,10
2023-01-27,23,8
2023-01-28,36,12
2023-01-29,27,12
2023-01-30,14,7
2023-01-31,10,5
2023-02-01,9,6
2023-02-02,7,4
2023-02-03,11,5
2023-02-04,15,8
2023-02-05,17,9
2023-02-06,8,3
2023-02-07,5,3
2023-02-08,4,2
2023-02-09,6,2
2023-02-10,5,3
2023-02-11,7,3
2023-02-12,9,5
2023-02-13,4,2
2023-02-14,3,2
2023-02-15,5,3
2023-02-16,4,0
2023-02-17,5,3
2023-02-18,6,4
2023-02-19,7,4
2023-02-20,5,4
2023-02-21,5,2
2023-02-22,3,2
2023-02-23,3,0
2023-02-24,5,0
2023-02-25,8,5
2023-02-26,12,5
2023-02-27,10,3
2023-02-28,8,3
2023-03-01,5,3
2023-03-02,6,3
2023-03-03,7,3
2023-03-04,14,6
2023-03-05,14,9
2023-03-06,9,4
2023-03-07,7,4
2023-03-08,8,5
2023-03-09,11,8
2023-03-10,21,8
2023-03-11,37,16
