Category: All categories

Day,BARBIE oscar: (United States),AMERICAN FICTION oscar: (United States),ANATOMY OF A FALL oscar: (United States),OPPENHEIMER oscar: (United States),THE HOLDOVERS oscar: (United States)
2023-12-09,0,0,0,0,0
2023-12-10,0,0,0,0,0
2023-12-11,0,0,0,0,0
2023-12-12,0,0,0,0,0
2023-12-13,0,0,0,0,0
2023-12-14,0,0,0,0,0
2023-12-15,0,0,0,0,0
2023-12-16,0,0,0,0,0
2023-12-17,3,0,0,0,0
2023-12-18,0,0,0,0,0
2023-12-19,0,0,0,0,0
2023-12-20,0,0,0,0,0
2023-12-21,0,0,0,0,0
2023-12-22,0,0,0,0,0
2023-12-23,0,0,0,0,0
2023-12-24,3,0,0,0,0
2023-12-25,0,0,0,0,0
2023-12-26,0,0,0,0,0
2023-12-27,0,0,0,0,0
2023-12-28,0,0,0,0,0
2023-12-29,0,0,0,0,0
2023-12-30,0,0,0,0,3
2023-12-31,0,0,0,0,0
2024-01-01,0,0,0,3,0
2024-01-02,0,0,0,0,0
2024-01-03,0,0,0,0,0
2024-01-04,0,0,4,0,0
2024-01-05,0,0,0,0,0
2024-01-06,0,0,0,3,0
2024-01-07,3,0,0,3,0
2024-01-08,4,0,0,7,3
2024-01-09,0,0,0,3,0
2024-01-10,0,0,0,0,0
2024-01-11,0,0,0,0,0
2024-01-12,0,0,0,0,0
2024-01-13,0,0,0,4,0
2024-01-14,0,0,0,3,4
2024-01-15,0,3,0,0,0
2024-01-16,3,0,0,0,0
2024-01-17,0,0,0,0,0
2024-01-18,0,0,0,0,0
2024-01-19,0,0,0,2,0
2024-01-20,0,0,4,0,0
2024-01-21,0,3,3,0,0
2024-01-22,0,0,0,0,0
2024-01-23,56,52,48,18,18
2024-01-24,100,36,32,19,18
2024-01-25,41,15,15,11,12
2024-01-26,17,11,10,6,7
2024-01-27,15,16,14,6,10
2024-01-28,15,17,18,10,13
2024-01-29,7,5,5,3,4
2024-01-30,0,5,7,3,5
2024-01-31,4,5,5,0,0
2024-02-01,6,3,4,0,0
2024-02-02,0,4,5,0,3
2024-02-03,4,11,11,4,9
2024-02-04,4,10,8,5,6
2024-02-05,4,4,4,3,4
2024-02-06,2,6,4,0,0
2024-02-07,0,3,3,0,3
2024-02-08,3,3,0,3,0
2024-02-09,0,5,3,0,2
2024-02-10,0,7,7,0,5
2024-02-11,3,8,8,0,4
2024-02-12,0,4,3,0,0
2024-02-13,0,0,4,0,0
2024-02-14,0,0,0,0,0
2024-02-15,0,3,0,0,0
2024-02-16,4,4,3,4,0
2024-02-17,4,9,6,9,6
2024-02-18,3,9,7,9,6
2024-02-19,0,8,0,8,5
2024-02-20,0,4,4,4,3
2024-02-21,0,0,3,0,0
2024-02-22,0,3,0,0,0
2024-02-23,0,3,3,0,3
2024-02-24,3,8,7,5,6
2024-02-25,0,8,7,7,4
2024-02-26,0,5,3,4,3
2024-02-27,0,0,3,0,0
2024-02-28,0,2,0,0,0
2024-02-29,0,0,3,2,0
2024-03-01,0,4,3,0,0
2024-03-02,0,5,5,5,0
2024-03-03,3,6,7,5,6
2024-03-04,0,4,4,4,0
2024-03-05,2,5,4,3,3
2024-03-06,0,5,5,4,3
2024-03-07,0,4,4,4,0
2024-03-08,3,7,6,4,5
2024-03-09,8,23,23,12,10
