Category: All categories

Day,BARBIE oscar: (United States),KILLERS OF THE FLOWER MOON oscar: (United States),MAESTRO oscar: (United States),PAST LIVES oscar: (United States),POOR THINGS oscar: (United States)
2023-12-09,0,0,0,0,0
2023-12-10,0,0,0,0,0
2023-12-11,0,0,0,0,0
2023-12-12,0,0,0,0,0
2023-12-13,0,0,0,0,0
2023-12-14,0,0,0,0,0
2023-12-15,0,0,0,0,0
2023-12-16,0,0,0,0,0
2023-12-17,3,0,0,0,0
2023-12-18,0,0,0,0,0
2023-12-19,0,0,0,0,0
2023-12-20,0,0,0,0,0
2023-12-21,0,0,4,0,0
2023-12-22,0,0,4,0,0
2023-12-23,0,0,0,0,0
2023-12-24,3,0,0,4,0
2023-12-25,0,0,0,0,0
2023-12-26,0,0,0,0,0
2023-12-27,0,0,0,0,3
2023-12-28,0,0,3,0,0
2023-12-29,0,0,0,0,4
2023-12-30,0,0,3,3,0
2023-12-31,0,0,0,0,3
2024-01-01,0,0,0,0,0
2024-01-02,0,0,0,0,0
2024-01-03,0,0,0,3,0
2024-01-04,0,0,0,0,0
2024-01-05,0,0,0,0,0
2024-01-06,0,0,0,0,4
2024-01-07,3,0,3,0,3
2024-01-08,4,4,0,0,6
2024-01-09,0,0,0,0,4
2024-01-10,0,0,0,0,0
2024-01-11,0,0,0,0,0
2024-01-12,0,0,0,3,4
2024-01-13,0,4,0,0,4
2024-01-14,0,3,0,0,4
2024-01-15,0,0,0,0,3
2024-01-16,3,0,0,0,0
2024-01-17,0,0,0,0,0
2024-01-18,0,0,0,0,0
2024-01-19,0,0,0,3,2
2024-01-20,0,0,0,0,5
2024-01-21,0,0,0,0,0
2024-01-22,0,0,0,0,0
2024-01-23,56,17,16,24,36
2024-01-24,100,18,17,19,39
2024-01-25,41,10,10,11,17
2024-01-26,17,6,8,6,13
2024-01-27,15,7,7,8,17
2024-01-28,15,11,9,12,19
2024-01-29,7,2,3,4,6
2024-01-30,0,0,2,5,4
2024-01-31,4,0,0,0,6
2024-02-01,6,2,0,0,5
2024-02-02,0,3,0,3,3
2024-02-03,4,6,6,7,9
2024-02-04,4,7,6,9,15
2024-02-05,4,0,0,4,5
2024-02-06,2,0,2,3,4
2024-02-07,0,0,0,3,5
2024-02-08,3,0,0,0,3
2024-02-09,0,0,0,0,6
2024-02-10,0,0,0,5,9
2024-02-11,3,0,5,4,9
2024-02-12,0,0,0,0,3
2024-02-13,0,0,0,3,0
2024-02-14,0,0,0,0,3
2024-02-15,0,0,0,0,3
2024-02-16,4,0,0,0,4
2024-02-17,4,4,0,5,7
2024-02-18,3,5,4,5,9
2024-02-19,0,4,3,0,6
2024-02-20,0,0,0,0,3
2024-02-21,0,0,0,0,3
2024-02-22,0,0,0,3,5
2024-02-23,0,0,0,0,4
2024-02-24,3,4,3,4,10
2024-02-25,0,5,0,4,8
2024-02-26,0,0,0,3,3
2024-02-27,0,0,0,0,3
2024-02-28,0,2,4,0,2
2024-02-29,0,0,0,0,3
2024-03-01,0,0,0,3,4
2024-03-02,0,5,0,5,9
2024-03-03,3,5,5,6,9
2024-03-04,0,3,0,3,7
2024-03-05,2,0,3,4,5
2024-03-06,0,3,3,4,5
2024-03-07,0,0,3,0,6
2024-03-08,3,3,0,5,11
2024-03-09,8,9,5,13,27
