Category: All categories

Day,BARBIE oscar: (United States),THE ZONE OF INTEREST oscar: (United States)
2023-12-09,0,0
2023-12-10,0,0
2023-12-11,0,0
2023-12-12,0,0
2023-12-13,0,0
2023-12-14,0,0
2023-12-15,0,0
2023-12-16,0,0
2023-12-17,0,0
2023-12-18,0,0
2023-12-19,0,0
2023-12-20,0,0
2023-12-21,0,0
2023-12-22,0,0
2023-12-23,0,0
2023-12-24,4,0
2023-12-25,4,0
2023-12-26,0,0
2023-12-27,0,0
2023-12-28,0,0
2023-12-29,0,0
2023-12-30,0,0
2023-12-31,0,0
2024-01-01,0,0
2024-01-02,0,0
2024-01-03,0,0
2024-01-04,0,0
2024-01-05,0,0
2024-01-06,0,0
2024-01-07,4,0
2024-01-08,4,0
2024-01-09,0,0
2024-01-10,0,0
2024-01-11,0,0
2024-01-12,0,0
2024-01-13,0,0
2024-01-14,0,0
2024-01-15,0,0
2024-01-16,0,0
2024-01-17,0,0
2024-01-18,0,0
2024-01-19,0,0
2024-01-20,0,0
2024-01-21,0,0
2024-01-22,0,0
2024-01-23,56,28
2024-01-24,100,18
2024-01-25,41,9
2024-01-26,18,6
2024-01-27,16,7
2024-01-28,17,11
2024-01-29,6,0
2024-01-30,3,5
2024-01-31,5,0
2024-02-01,4,3
2024-02-02,3,4
2024-02-03,6,6
2024-02-04,5,6
2024-02-05,5,3
2024-02-06,3,0
2024-02-07,3,0
2024-02-08,3,0
2024-02-09,0,3
2024-02-10,0,0
2024-02-11,0,3
2024-02-12,0,0
2024-02-13,0,0
2024-02-14,0,0
2024-02-15,4,0
2024-02-16,0,3
2024-02-17,5,6
2024-02-18,4,4
2024-02-19,3,0
2024-02-20,0,0
2024-02-21,3,0
2024-02-22,3,0
2024-02-23,0,3
2024-02-24,0,4
2024-02-25,0,0
2024-02-26,0,0
2024-02-27,0,0
2024-02-28,0,0
2024-02-29,0,0
2024-03-01,0,0
2024-03-02,4,4
2024-03-03,4,4
2024-03-04,0,3
2024-03-05,0,0
2024-03-06,0,0
2024-03-07,3,0
2024-03-08,3,4
2024-03-09,8,10
