Category: All categories

Day,BARBIE oscar: (Worldwide),KILLERS OF THE FLOWER MOON oscar: (Worldwide),MAESTRO oscar: (Worldwide),PAST LIVES oscar: (Worldwide),POOR THINGS oscar: (Worldwide)
2023-12-09,0,2,2,0,1
2023-12-10,0,0,0,0,0
2023-12-11,1,0,0,0,1
2023-12-12,1,0,1,0,1
2023-12-13,0,0,0,0,0
2023-12-14,0,0,0,0,2
2023-12-15,0,0,0,0,1
2023-12-16,2,0,0,0,0
2023-12-17,2,0,0,0,0
2023-12-18,1,0,0,0,0
2023-12-19,0,0,0,0,0
2023-12-20,0,0,0,0,0
2023-12-21,1,0,3,0,0
2023-12-22,1,0,3,0,0
2023-12-23,3,0,4,0,2
2023-12-24,2,0,2,2,2
2023-12-25,3,0,3,0,0
2023-12-26,1,0,2,0,0
2023-12-27,2,0,3,0,2
2023-12-28,0,2,2,0,0
2023-12-29,2,0,2,0,2
2023-12-30,2,0,0,0,2
2023-12-31,2,0,2,0,3
2024-01-01,2,2,2,2,0
2024-01-02,1,1,2,1,2
2024-01-03,2,0,1,0,1
2024-01-04,2,0,2,0,1
2024-01-05,1,2,2,2,2
2024-01-06,1,2,3,1,4
2024-01-07,4,0,4,2,3
2024-01-08,7,3,3,1,7
2024-01-09,3,1,1,0,4
2024-01-10,2,0,2,0,4
2024-01-11,2,0,1,0,3
2024-01-12,0,1,1,0,3
2024-01-13,2,3,1,2,4
2024-01-14,2,2,3,2,4
2024-01-15,2,2,2,2,3
2024-01-16,0,0,1,1,2
2024-01-17,0,2,0,0,2
2024-01-18,2,1,0,0,2
2024-01-19,0,0,1,0,3
2024-01-20,2,2,3,0,4
2024-01-21,1,0,2,1,4
2024-01-22,2,2,2,0,2
2024-01-23,54,21,27,24,41
2024-01-24,100,19,21,17,41
2024-01-25,49,9,14,10,18
2024-01-26,41,8,13,7,18
2024-01-27,24,9,13,9,24
2024-01-28,16,12,11,12,23
2024-01-29,8,5,5,6,11
2024-01-30,6,3,4,4,8
2024-01-31,5,3,3,3,8
2024-02-01,7,3,4,3,7
2024-02-02,5,3,5,5,6
2024-02-03,7,6,8,8,15
2024-02-04,6,5,9,7,15
2024-02-05,6,4,4,5,6
2024-02-06,4,2,4,2,6
2024-02-07,3,2,2,3,6
2024-02-08,4,0,2,3,5
2024-02-09,3,2,3,4,7
2024-02-10,4,4,5,5,11
2024-02-11,5,3,7,6,11
2024-02-12,3,2,3,2,5
2024-02-13,4,0,3,3,4
2024-02-14,3,1,3,2,5
2024-02-15,4,0,3,4,5
2024-02-16,4,2,4,5,6
2024-02-17,5,4,6,4,9
2024-02-18,5,4,6,6,11
2024-02-19,4,2,4,5,7
2024-02-20,3,2,3,3,4
2024-02-21,2,2,3,2,3
2024-02-22,3,0,2,2,6
2024-02-23,3,3,3,3,5
2024-02-24,3,3,5,5,10
2024-02-25,5,5,4,4,10
2024-02-26,3,2,2,3,4
2024-02-27,2,2,3,3,4
2024-02-28,2,2,2,3,4
2024-02-29,3,1,2,2,4
2024-03-01,2,2,3,3,5
2024-03-02,3,4,4,4,10
2024-03-03,4,4,6,6,10
2024-03-04,2,3,4,4,7
2024-03-05,4,3,3,3,6
2024-03-06,2,3,4,3,7
2024-03-07,3,3,4,3,6
2024-03-08,6,3,5,5,12
2024-03-09,8,9,9,11,20
