Category: All categories

Day,BARBIE oscar: (Worldwide),THE ZONE OF INTEREST oscar: (Worldwide)
2023-12-09,0,0
2023-12-10,0,0
2023-12-11,1,0
2023-12-12,1,1
2023-12-13,0,0
2023-12-14,0,0
2023-12-15,0,0
2023-12-16,2,0
2023-12-17,2,0
2023-12-18,1,0
2023-12-19,0,0
2023-12-20,0,0
2023-12-21,1,0
2023-12-22,1,0
2023-12-23,3,0
2023-12-24,2,2
2023-12-25,3,0
2023-12-26,1,0
2023-12-27,2,2
2023-12-28,0,0
2023-12-29,2,0
2023-12-30,2,0
2023-12-31,2,0
2024-01-01,2,0
2024-01-02,1,0
2024-01-03,2,0
2024-01-04,2,0
2024-01-05,1,0
2024-01-06,1,0
2024-01-07,4,2
2024-01-08,7,2
2024-01-09,3,0
2024-01-10,2,0
2024-01-11,2,0
2024-01-12,0,1
2024-01-13,2,0
2024-01-14,2,1
2024-01-15,2,0
2024-01-16,0,0
2024-01-17,0,0
2024-01-18,2,0
2024-01-19,0,2
2024-01-20,2,1
2024-01-21,1,2
2024-01-22,2,0
2024-01-23,54,32
2024-01-24,100,18
2024-01-25,49,10
2024-01-26,41,9
2024-01-27,24,7
2024-01-28,16,8
2024-01-29,8,4
2024-01-30,6,5
2024-01-31,5,3
2024-02-01,7,4
2024-02-02,5,3
2024-02-03,7,6
2024-02-04,6,5
2024-02-05,6,3
2024-02-06,4,2
2024-02-07,3,2
2024-02-08,4,3
2024-02-09,3,2
2024-02-10,4,3
2024-02-11,5,4
2024-02-12,3,2
2024-02-13,4,1
2024-02-14,3,2
2024-02-15,4,2
2024-02-16,4,2
2024-02-17,5,4
2024-02-18,5,4
2024-02-19,4,2
2024-02-20,3,2
2024-02-21,2,2
2024-02-22,3,2
2024-02-23,3,3
2024-02-24,3,5
2024-02-25,5,4
2024-02-26,3,3
2024-02-27,2,4
2024-02-28,2,1
2024-02-29,3,3
2024-03-01,2,3
2024-03-02,3,4
2024-03-03,4,3
2024-03-04,2,3
2024-03-05,4,2
2024-03-06,2,2
2024-03-07,3,3
2024-03-08,6,6
2024-03-09,8,9
